"","2.5","50","97.5"
"N_1988",3222.50465494223,4244.27378406878,5579.77420365368
"N_2023",18985.7975395804,24736.9819116079,32208.0571646954
"growth_rate_1989",-1.4464911558755,1.90701196536183,4.76488448219728
"growth_rate_2021",2.29324618968715,3.81437839220875,5.51729189181005
"growth_rate_2023",3.79621889906861,5.17297135866255,6.81702990333187
"growth_rate_max",5.61586669668916,6.84215335114217,8.18154318752867
"growth_rate_asymptotic",5.96168803332764,7.10797679374758,9.01761493185708
"R0_asymptotic",2.31152051754074,3.36827049115561,4.72116146401141
"1988_freq0",0.0541240387470747,0.109312789895273,0.154671046300468
"1988_freq1",0.0307461991806066,0.0663836921579839,0.102238165188665
"1988_freq2",0.0269606124718189,0.0555767411827575,0.0863356372985917
"1988_freq3",0.0248513380088992,0.049373457581596,0.0752506553628098
"1988_freq4",0.0234014192926755,0.0448660821996514,0.066264621063875
"1988_freq5",0.537688591686888,0.670080793918039,0.833687933101234
"2023_freq0",0.156465698331304,0.18194088212748,0.209768969234593
"2023_freq1",0.078310782290666,0.106618056187929,0.130432113454067
"2023_freq2",0.0675666391580054,0.0837571683454792,0.107392394348857
"2023_freq3",0.0579509989133228,0.0698278220156788,0.0900855115203077
"2023_freq4",0.0513640496402382,0.0612054290592936,0.0775354831963276
"2023_freq5",0.430315250887008,0.496377467927177,0.546086945270224
"K_freq_0",0.0643390309696699,0.0845768182435743,0.107672275203206
"K_freq_sub",0.114629590291814,0.171374235911821,0.28653707165381
"K_freq_5+",0.61219898973306,0.743340074918137,0.816169901956552
"f_freq",0.469235565811313,0.50042000600958,0.534923502380937
"phi_1",0.421299509423648,0.628395614523646,0.865792771035217
"phi_2",0.767340080925609,0.85876509793301,0.947392243517393
"phi_3",0.852876942421279,0.897474931783851,0.953971922128065
"phi_4",0.895312660331483,0.921671922081697,0.958779896822943
"phi_5",0.906800101759405,0.941193539450157,0.963259143018841
"phi_6",0.911040681539806,0.953760464508494,0.969309555010944
"phi_7",0.402105512260312,0.624801185049563,0.864318803943341
"phi_8",0.758675529384228,0.859535740470406,0.948574955621012
"phi_9",0.844902087477737,0.898560425804343,0.954849089284333
"phi_10",0.887853793953281,0.922410841563941,0.960231211927896
"phi_11",0.903016348705604,0.941187547507684,0.964723664515433
"phi_12",0.908929211965051,0.95391351477576,0.971289908138603
"phi_scale",0.436031720794531,0.65827405254002,0.947603624018604
"nu0",-0.179321456717555,0.0145072595052262,0.208365905417747
"nu1",-0.195259599036871,-0.00329746917463699,0.180243449561692
"c",0.0312494855035608,0.490168339001932,0.970861257255264
"b_1988",0.133139191811956,0.32775439067957,0.541362022622362
"b0_2023",0.689041939710304,0.762120369356543,0.825434955936535
"b_2023",0.660023736984879,0.738554842403049,0.80819068562621
"b_min",0.0129906155510994,0.247902056805578,0.524823815757883
"b_max",0.69213216313413,0.767187478065987,0.878149330620782
"b_scale",0.0170505426262846,0.320913775661578,0.68484266262973
"b_eq",0.164823490038951,0.227988104765627,0.333602334457281
"beta_0",-0.662444141298095,1.73278340429404,5.11555628988128
"beta_1",0.854342456850574,2.48806322337261,7.2764254384917
"p_1988",0.165629600646724,0.369826225400949,0.590992880321571
"p_2022",0.740244856937803,0.818424170522468,0.888462517550569
"p_max",0.745160416466199,0.831531387099192,0.937418429115878
"p_min",0.014136012354217,0.267149998295162,0.572237942405369
"abortion_rate_2022",0.00834584572922636,0.0930506020862974,0.210398501057876
"K",133613.559345934,220320.36153855,340059.342257029
"theta_0",0.00651799579648601,0.0969148883255729,0.260233225636576
"theta_0_raw",0.108134107277486,0.581848102105655,0.969668926603547
"w",0.481004213978175,0.596061943466574,0.733619567114252
"w_pup",0.110283491089054,0.339975196836609,0.584354968641622
"delta",0.189318127786876,0.5724956879094,0.953400704552114
"w_baseline",0.438071015927484,0.549961212125209,0.689934500819313
"wt_max",0.799772158803755,0.973212120366756,0.986312964156528
"w_ice_max",0.982063405567277,0.999998731290097,1
"w_ice_min",0.43807097495665,0.549823360308791,0.689813153421039
"d",0,0,0
"f",0,0,0
"alpha_0",5.12282846332337,18.5696356144462,251.748931669845
"alpha_1",3.19787936821837,10.9619795923153,144.523018208648
"E_fi",0.253523043814716,0.438651118158414,0.835872339721335
"E_sw_spring",0.000716973777223085,0.0016720149386438,0.00402796244968894
"E_sw_fall",0.000403519028229727,0.00116059816734147,0.00425114727898423
"sigma_fi",0.20732378799283,0.507391226923004,1.39271680060306
"sigma_sw_spring",0.636357701459166,1.02682631186059,2.01557568554506
"sigma_sw_fall",0.638525070137153,1.21573371896218,3.19389984955438
"pi_s",0.853349890456881,0.927757920151918,0.993776374931971
"pi_c",0.913438536435728,0.970032717784822,0.995635117273521
"kappa",0.00346129139725358,0.0853659409693346,0.25707350050743
"r",16.2070269698716,30.0063077893209,50.8109327499148
"rel_bc_0_1",3.90535098446117,7.74069891942339,15.8268207836721
"rel_bc0_m_f",0.997632856196281,1.37075270644553,1.88262731432151
"max_Rhat",1.00870343957205,1.00870343957205,1.00870343957205
"min_ESS",420.563769065513,420.563769065513,420.563769065513
