"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",40,100,0.06,0.03
"2","2",39,95,0.06,0.02
"3","3",39,93,0.07,0.03
"4","4",41,85,0.07,0.03
"5","5",39,98,0.06,0.03
"6","6",40,98,0.06,0.03
"7","7",39,93,0.06,0.02
"8","8",43,93,0.06,0.03
"9","9",39,98,0.06,0.03
"10","10",39,97,0.06,0.03
"11","11",39,99,0.06,0.03
"12","12",39,98,0.06,0.03
