"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",10,100,0.17,0.03
"2","2",20,45,0.24,0.07
"3","3",11,77,0.16,0.03
"4","4",27,19,0.32,0.1
"5","5",10,98,0.17,0.03
"6","6",10,85,0.18,0.03
"7","7",10,97,0.17,0.03
"8","8",10,96,0.18,0.03
"9","9",10,98,0.17,0.03
"10","10",10,87,0.18,0.03
"11","11",9,95,0.17,0.03
"12","12",12,90,0.18,0.03
