"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",18,100,0.92,0.04
"2","2",18,98,0.92,0.03
"3","3",18,98,0.92,0.04
"4","4",18,97,0.92,0.04
"5","5",26,74,0.9,0.06
"6","6",18,90,0.93,0.04
"7","7",18,98,0.92,0.03
"8","8",18,97,0.92,0.03
"9","9",18,97,0.92,0.04
"10","10",18,99,0.92,0.04
"11","11",18,98,0.92,0.03
