"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",39,100,0.07,0.02
"2","2",38,96,0.06,0.02
"3","3",39,93,0.07,0.02
"4","4",41,90,0.07,0.03
"5","5",38,98,0.07,0.02
"6","6",38,98,0.07,0.02
"7","7",39,95,0.07,0.02
"8","8",43,84,0.08,0.03
"9","9",38,98,0.07,0.02
"10","10",39,98,0.07,0.02
"11","11",38,98,0.07,0.02
"12","12",39,98,0.07,0.02
