"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",38,100,11.87,5.7
"2","2",41,57,3.94,6.82
"3","3",50,79,10.3,12.76
"4","4",41,51,3.76,8
"5","5",38,97,11.5,5.68
"6","6",37,83,9.25,5.61
"7","7",39,98,12.08,5.78
"8","8",40,96,11.94,6.11
"9","9",39,98,11.84,5.78
"10","10",24,24,0,0
"11","11",35,88,10.29,5.13
"12","12",44,87,13.46,7
