"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",15,100,0.07,0.02
"2","2",14,77,0.08,0.02
"3","3",12,86,0.08,0.01
"4","4",18,83,0.07,0.02
"5","5",15,98,0.07,0.02
"6","6",15,98,0.07,0.02
"7","7",19,81,0.07,0.02
"8","8",16,71,0.06,0.02
"9","9",14,97,0.07,0.02
"10","10",14,97,0.07,0.02
"11","11",15,98,0.07,0.02
"12","12",14,96,0.08,0.02
