"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",75,100,0.58,0.2
"2","2",82,91,0.62,0.23
"3","3",62,61,0.84,0.2
"4","4",81,84,0.66,0.24
"5","5",75,98,0.58,0.2
"6","6",74,97,0.57,0.2
"7","7",82,90,0.53,0.23
"8","8",81,90,0.63,0.22
"9","9",74,98,0.58,0.2
"10","10",76,97,0.57,0.2
"11","11",77,97,0.57,0.21
"12","12",73,95,0.6,0.2
