"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",24,100,0.03,0.01
"2","2",24,97,0.03,0.01
"3","3",24,74,0.03,0.01
"4","4",28,72,0.03,0.01
"5","5",25,98,0.03,0.01
"6","6",25,96,0.03,0.01
"7","7",29,90,0.03,0.01
"8","8",29,85,0.02,0.01
"9","9",24,98,0.03,0.01
"10","10",24,97,0.03,0.01
"11","11",25,98,0.03,0.01
"12","12",24,97,0.03,0.01
