"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",30,100,0.06,0.01
"2","2",29,97,0.06,0.01
"3","3",29,66,0.07,0.01
"4","4",34,66,0.07,0.02
"5","5",30,98,0.06,0.01
"6","6",30,97,0.06,0.01
"7","7",34,91,0.05,0.02
"8","8",33,93,0.06,0.02
"9","9",30,97,0.06,0.01
"10","10",30,96,0.06,0.01
"11","11",31,97,0.06,0.02
"12","12",30,97,0.06,0.01
