"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",29,100,0.1,0.08
"2","2",32,91,0.11,0.09
"3","3",40,60,0.18,0.11
"4","4",38,72,0.15,0.11
"5","5",29,98,0.1,0.09
"6","6",30,94,0.11,0.08
"7","7",72,50,0.25,0.24
"8","8",30,94,0.11,0.08
"9","9",29,97,0.1,0.09
"10","10",30,94,0.11,0.08
"11","11",28,91,0.09,0.08
"12","12",31,91,0.11,0.09
