"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",16,100,0.07,0.02
"2","2",15,78,0.08,0.02
"3","3",14,87,0.08,0.02
"4","4",19,84,0.07,0.02
"5","5",16,97,0.08,0.02
"6","6",16,96,0.07,0.02
"7","7",20,89,0.07,0.02
"8","8",17,86,0.07,0.02
"9","9",15,96,0.08,0.02
"10","10",15,97,0.08,0.02
"11","11",16,97,0.07,0.02
"12","12",15,95,0.08,0.02
