"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",21,100,1.76,1.32
"2","2",20,94,1.92,1.27
"3","3",25,91,1.93,1.71
"4","4",23,84,2.24,1.54
"5","5",28,69,0.9,3.13
"6","6",73,40,5.7,57.92
"7","7",21,94,1.62,1.38
"8","8",22,91,2.01,1.46
"9","9",21,97,1.75,1.39
"10","10",22,97,1.74,1.45
"11","11",22,98,1.79,1.45
