"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",10,100,1.02,0.34
"2","2",10,98,1.02,0.36
"3","3",10,98,1.02,0.33
"4","4",10,96,1,0.33
"5","5",10,98,1.01,0.34
"6","6",10,97,1.04,0.35
"7","7",13,88,0.98,0.42
"8","8",10,98,1.03,0.35
"9","9",10,98,1.02,0.34
"10","10",10,97,1.03,0.36
"11","11",10,98,1.02,0.35
"12","12",10,99,1.02,0.33
