"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",37,100,0.02,0.02
"2","2",39,88,0.02,0.01
"3","3",36,94,0.03,0.02
"4","4",38,94,0.02,0.01
"5","5",37,98,0.02,0.01
"6","6",39,96,0.02,0.02
"7","7",37,98,0.02,0.01
"8","8",40,95,0.02,0.02
"9","9",37,98,0.02,0.02
"10","10",37,97,0.02,0.02
"11","11",36,98,0.02,0.02
"12","12",37,98,0.02,0.01
