"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",27,100,0.06,0.03
"2","2",29,88,0.06,0.03
"3","3",26,93,0.07,0.03
"4","4",28,91,0.06,0.03
"5","5",27,99,0.06,0.03
"6","6",28,95,0.06,0.04
"7","7",27,98,0.06,0.03
"8","8",28,86,0.08,0.04
"9","9",27,97,0.07,0.03
"10","10",27,97,0.07,0.03
"11","11",27,98,0.07,0.03
"12","12",27,97,0.07,0.03
