"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",20,100,0.79,0.04
"2","2",19,96,0.78,0.04
"3","3",21,86,0.77,0.04
"4","4",19,83,0.77,0.04
"5","5",30,72,0.81,0.06
"6","6",28,88,0.78,0.06
"7","7",21,96,0.79,0.04
"8","8",19,98,0.78,0.04
"9","9",21,98,0.79,0.04
"10","10",20,95,0.79,0.04
"11","11",20,97,0.78,0.04
