"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",35,100,2.55,2
"2","2",30,87,2.97,1.84
"3","3",39,92,2.38,1.66
"4","4",32,87,2.98,1.84
"5","5",40,86,2.15,1.7
"6","6",88,44,0.56,2.35
"7","7",35,95,2.39,1.46
"8","8",34,95,2.64,1.56
"9","9",33,96,2.63,1.6
"10","10",35,96,2.49,1.68
"11","11",35,97,2.49,1.55
"12","12",35,97,2.62,1.76
