"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",41,100,0.95,0.02
"2","2",39,92,0.95,0.02
"3","3",41,94,0.96,0.02
"4","4",52,87,0.95,0.02
"5","5",41,98,0.95,0.02
"6","6",48,85,0.94,0.02
"7","7",41,98,0.95,0.02
"8","8",43,95,0.95,0.02
"9","9",42,99,0.95,0.02
"10","10",39,96,0.95,0.02
"11","11",41,99,0.95,0.02
"12","12",41,98,0.95,0.02
