"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",29,100,4747.06,766.25
"2","2",46,54,3734.78,1089.86
"3","3",36,41,3490.13,782.08
"4","4",49,22,10441.86,6149.36
"5","5",29,93,4633.93,740.27
"6","6",30,62,4050.95,664.3
"7","7",29,96,4816.71,792.92
"8","8",29,97,4790.82,784.49
"9","9",30,98,4773.43,782.64
"10","10",27,70,4244.27,595.41
"11","11",30,75,5252.46,919.59
"12","12",33,74,4278.63,731.15
