"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",36,100,0.06,0.02
"2","2",36,96,0.06,0.02
"3","3",37,97,0.07,0.03
"4","4",37,92,0.07,0.03
"5","5",36,98,0.07,0.02
"6","6",37,98,0.06,0.02
"7","7",37,98,0.06,0.02
"8","8",41,82,0.08,0.03
"9","9",36,99,0.06,0.02
"10","10",37,98,0.06,0.02
"11","11",36,98,0.07,0.02
"12","12",37,98,0.06,0.02
