"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",76,100,0.6,0.07
"2","2",97,78,0.64,0.08
"3","3",94,70,0.66,0.08
"4","4",91,67,0.67,0.08
"5","5",74,97,0.6,0.07
"6","6",71,94,0.59,0.07
"7","7",74,96,0.6,0.07
"8","8",75,97,0.6,0.07
"9","9",76,98,0.6,0.07
"10","10",71,95,0.6,0.06
"11","11",51,68,0.54,0.07
"12","12",84,62,0.67,0.07
