"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",28,100,0.05,0.01
"2","2",27,96,0.05,0.01
"3","3",27,68,0.06,0.01
"4","4",34,65,0.06,0.02
"5","5",28,99,0.05,0.01
"6","6",28,96,0.05,0.01
"7","7",32,92,0.05,0.01
"8","8",31,92,0.05,0.01
"9","9",28,98,0.05,0.01
"10","10",28,96,0.05,0.01
"11","11",28,98,0.05,0.01
"12","12",27,96,0.05,0.01
