"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",27,100,0.19,0.07
"2","2",27,88,0.21,0.08
"3","3",29,87,0.16,0.07
"4","4",34,82,0.15,0.08
"5","5",27,98,0.19,0.07
"6","6",28,94,0.19,0.08
"7","7",27,97,0.19,0.07
"8","8",29,78,0.15,0.07
"9","9",28,98,0.19,0.07
"10","10",27,97,0.18,0.07
"11","11",27,97,0.19,0.07
"12","12",27,98,0.19,0.07
