"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",19,100,0.2,0.05
"2","2",19,88,0.19,0.05
"3","3",16,52,0.15,0.04
"4","4",22,60,0.15,0.06
"5","5",20,98,0.2,0.05
"6","6",19,96,0.2,0.05
"7","7",24,91,0.21,0.07
"8","8",21,88,0.19,0.06
"9","9",19,97,0.2,0.05
"10","10",19,95,0.2,0.05
"11","11",20,98,0.2,0.06
"12","12",19,95,0.2,0.05
