"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",12,100,1.24,0.7
"2","2",12,97,1.22,0.67
"3","3",12,96,1.21,0.66
"4","4",12,96,1.2,0.67
"5","5",11,98,1.25,0.7
"6","6",12,97,1.24,0.7
"7","7",12,50,2.52,3.04
"8","8",12,95,1.19,0.65
"9","9",11,98,1.23,0.67
"10","10",11,97,1.22,0.7
"11","11",12,98,1.24,0.72
"12","12",11,98,1.23,0.67
