"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",33,100,0.26,0.1
"2","2",33,88,0.29,0.1
"3","3",34,87,0.22,0.1
"4","4",39,82,0.21,0.11
"5","5",32,98,0.26,0.1
"6","6",34,96,0.27,0.1
"7","7",33,98,0.26,0.1
"8","8",36,87,0.22,0.11
"9","9",33,98,0.25,0.1
"10","10",32,96,0.25,0.1
"11","11",33,98,0.25,0.1
"12","12",33,98,0.26,0.1
