"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",38,100,0.05,0.02
"2","2",38,96,0.04,0.02
"3","3",40,94,0.05,0.02
"4","4",42,88,0.05,0.02
"5","5",39,98,0.05,0.02
"6","6",39,98,0.05,0.02
"7","7",39,92,0.04,0.02
"8","8",41,88,0.04,0.02
"9","9",39,98,0.05,0.02
"10","10",38,98,0.05,0.02
"11","11",38,98,0.05,0.02
"12","12",39,98,0.05,0.02
