"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",27,100,0.06,0.01
"2","2",27,96,0.06,0.01
"3","3",25,67,0.07,0.02
"4","4",31,71,0.07,0.02
"5","5",28,97,0.06,0.01
"6","6",27,97,0.06,0.01
"7","7",32,93,0.06,0.02
"8","8",31,79,0.07,0.02
"9","9",28,98,0.06,0.01
"10","10",27,95,0.06,0.01
"11","11",29,97,0.06,0.02
"12","12",27,96,0.06,0.01
