"","sensitivity","prior_overlap","posterior_overlap","median","sd"
"1","1",29,100,0.89,0.07
"2","2",36,75,0.85,0.08
"3","3",26,80,0.92,0.06
"4","4",32,92,0.88,0.07
"5","5",30,98,0.89,0.07
"6","6",28,95,0.9,0.06
"7","7",69,55,0.77,0.21
"8","8",28,96,0.9,0.07
"9","9",30,98,0.89,0.07
"10","10",30,97,0.89,0.07
"11","11",30,98,0.89,0.07
"12","12",30,96,0.89,0.07
