"","2.5","50","97.5"
"N_1988",2420.87023522487,3490.13181506126,5367.17152505971
"N_2023",7463.66927976494,13839.2054239776,26132.3655660637
"growth_rate_1989",-1.73875379545715,1.62903050957145,4.61703685002257
"growth_rate_2021",-3.60189549752135,0.846105051289314,4.67934062061795
"growth_rate_2023",-0.783633052331308,2.9231055111003,6.2600950791833
"growth_rate_max",3.67076838270832,5.70717807169653,8.04486637353026
"growth_rate_asymptotic",3.98728600408111,5.89100125886833,8.83304367067208
"R0_asymptotic",1.90438164500007,2.88385477973211,4.45402199667395
"1988_freq0",0.0562754210725134,0.116252226294856,0.170394288812386
"1988_freq1",0.0266024908813923,0.0635813107431452,0.104603842391187
"1988_freq2",0.022908931928473,0.0522489303882373,0.0868123771891116
"1988_freq3",0.0206381090875147,0.0460686228240044,0.0754134833797652
"1988_freq4",0.0194168751390271,0.0419406490116494,0.066282784872222
"1988_freq5",0.527480808805235,0.673648252273641,0.849764045108267
"2023_freq0",0.158302429312932,0.18859235457131,0.221117852779268
"2023_freq1",0.0666390058117285,0.0991660532561538,0.128472012269409
"2023_freq2",0.0570753731031143,0.0771229760401407,0.106097360333073
"2023_freq3",0.0480356991988267,0.0645593337571343,0.0895973679003107
"2023_freq4",0.0422674130377312,0.0565712264009551,0.0772277383181708
"2023_freq5",0.433538542607161,0.512639348729636,0.577497254555794
"K_freq_0",0.0685703006133629,0.096531080537792,0.12594105708177
"K_freq_sub",0.112774418077612,0.167053623411127,0.295824282942777
"K_freq_5+",0.590147732860391,0.734912416746955,0.807814914475361
"f_freq",0.460124748775014,0.499869554054307,0.541017653529293
"phi_1",0.336783641917291,0.559211185164789,0.849235980523796
"phi_2",0.724595043524178,0.842957880787348,0.948645816747339
"phi_3",0.832128038353126,0.889669608301626,0.95478829426639
"phi_4",0.88469496603521,0.91855967183923,0.959119225617119
"phi_5",0.900773802196981,0.941063934087241,0.963602619745905
"phi_6",0.907278065563344,0.955102860434105,0.969391481220137
"phi_7",0.322900895117045,0.555330900444884,0.851598936265954
"phi_8",0.714767013023742,0.844437466409633,0.949733853077207
"phi_9",0.824516762493794,0.890799410560485,0.956044310920687
"phi_10",0.879360119631201,0.919285592866851,0.960807897749048
"phi_11",0.897657058427416,0.940950531086168,0.965171398228042
"phi_12",0.904740836956797,0.954913356023194,0.971693002934037
"phi_scale",0.348917406499778,0.585020594641835,0.92814615205341
"nu0",-0.175533352293254,0.0136430390047863,0.199292123879673
"nu1",-0.192721332978528,-0.00533039406902898,0.177386695842885
"c",0.0369865421392235,0.493168960564562,0.971596618910947
"b_1988",0.134154978092895,0.349556598503224,0.596231523617816
"b0_2023",0.678895035277692,0.754631911498111,0.820629058419538
"b_2023",0.663944553768808,0.741418878642757,0.811049230614493
"b_min",0.0139295196208296,0.248818420325263,0.547629215833851
"b_max",0.68078581497117,0.76053437176405,0.89476874380163
"b_scale",0.0179316307949596,0.325461135536077,0.722020779760796
"b_eq",0.1763882104294,0.264261854660992,0.393505240743889
"beta_0",-0.876585363357325,1.85933614669701,6.15619088589567
"beta_1",0.666410296040584,2.37657122200915,6.83213097811236
"p_1988",0.167416565873506,0.394321249145745,0.660881911165661
"p_2022",0.738653997036763,0.816377533692741,0.887890716939598
"p_max",0.743543013711762,0.828273690301415,0.945872825840169
"p_min",0.0149441367298773,0.271068492064781,0.599406549669021
"abortion_rate_2022",0.00689735267026665,0.0865207175606926,0.20304532221324
"K",133896.804742234,221120.482341226,337348.008576538
"theta_0",0.00653940083344875,0.102159632876115,0.275044467805752
"theta_0_raw",0.108746146015178,0.568328511516096,0.965962727904175
"w",0.502549045354795,0.663967771766637,0.818395084595129
"w_pup",0.174129974806678,0.53693829865719,0.76278687467635
"delta",0.2692285293435,0.839399109327482,0.995107325826697
"w_baseline",0.48984866881026,0.719967396839944,0.978693334835303
"wt_max",0.506572318873741,0.731483523727164,0.967748112370273
"w_ice_max",0.506867734161208,0.73846449149394,0.982391907950338
"w_ice_min",0.21131459769506,0.520744445818841,0.947135140107743
"d",0.0110778063301932,0.389707102510013,0.964820798640991
"f",0.530010504766079,10.2998342402399,40.7447592596261
"alpha_0",-472.76494937482,-2.37452652500748,138.93309741645
"alpha_1",-14.1400317556459,-0.0325960514028053,20.0402490797645
"E_fi",0.289471141218631,0.512251602125286,0.867753882285781
"E_sw_spring",0.00106398182281647,0.00275018212888798,0.007255920370405
"E_sw_fall",0.000611374995876484,0.00193418574764929,0.00644105169517145
"sigma_fi",0.0966071486386224,0.395180179478396,1.13620791371464
"sigma_sw_spring",0.633985313856947,1.01655791164292,1.89371340130628
"sigma_sw_fall",0.626024828689254,1.2063690072284,2.98343158117526
"pi_s",0.852078514846361,0.927955942552869,0.993957535917574
"pi_c",0.910639552321629,0.969739958288779,0.995134514501749
"kappa",0.00365332616470859,0.0850554943046342,0.255374912692481
"r",17.8492866899443,39.6132900490924,76.9706734915656
"rel_bc_0_1",3.41306604561736,6.97268446008538,15.1514624394536
"rel_bc0_m_f",1.00113552043485,1.36969949316443,1.89481422928838
"max_Rhat",1.01586398027065,1.01586398027065,1.01586398027065
"min_ESS",137.890732017686,137.890732017686,137.890732017686
