"","X","X2.5","X50","X97.5"
"1","N_1988","3515.9689899338","4747.06226449033","6559.02906166988"
"2","N_2023","20240.6188611282","26708.7035119603","36287.9935135568"
"3","growth_rate_1989","-1.65943547869873","1.7097392122396","4.54016342162907"
"4","growth_rate_2021","2.46984752692182","3.95651565736974","5.54517378400498"
"5","growth_rate_2023","3.87773797449241","5.19956038654106","6.71211019599277"
"6","growth_rate_max","5.57301903835683","6.76310797301375","8.08887180646611"
"7","growth_rate_asymptotic","5.91899375961383","7.03908955507164","8.8230413064496"
"8","R0_asymptotic","2.26690412543584","3.27311561134468","4.60173591858393"
"9","1988_freq0","0.054474312273439","0.107477678818121","0.151723758521046"
"10","1988_freq1","0.0304455783623961","0.0660918470238542","0.102250744290252"
"11","1988_freq2","0.0263558372045748","0.055307813186082","0.0867501301453739"
"12","1988_freq3","0.0241203134612462","0.0488953438977895","0.0757697779974018"
"13","1988_freq4","0.0226275360546016","0.0444856935634457","0.0667899327868033"
"14","1988_freq5","0.539072377525938","0.673877068793723","0.838029815961606"
"15","2023_freq0","0.155825124774138","0.181065788099007","0.209401778292088"
"16","2023_freq1","0.0776422710798479","0.107075583664186","0.131123191219611"
"17","2023_freq2","0.0673935559455098","0.0841364153385296","0.108335789969274"
"18","2023_freq3","0.0579235519775915","0.0701395657312728","0.0907867276945653"
"19","2023_freq4","0.0512601659931265","0.0614221205080393","0.0779436755498384"
"20","2023_freq5","0.428426755680366","0.495211116257541","0.547077318864901"
"21","K_freq_0","0.0649135570148583","0.0864813320128485","0.108616752401363"
"22","K_freq_sub","0.115188415293896","0.175637597820799","0.29286163886899"
"23","K_freq_5+","0.6060570684545","0.737472960764767","0.815583890873771"
"24","f_freq","0.468823082208543","0.500071550219245","0.534477450472518"
"25","phi_1","0.418964032957371","0.633398945836244","0.870091830414179"
"26","phi_2","0.766699131614225","0.85864994974528","0.946168223700955"
"27","phi_3","0.85245454049984","0.896052421805298","0.953329875392349"
"28","phi_4","0.894016234007645","0.919639267886472","0.958649399516096"
"29","phi_5","0.904915304535832","0.939583523115703","0.963118937664739"
"30","phi_6","0.908675735495176","0.952426580130965","0.96928828504876"
"31","phi_7","0.40273398738628","0.631635314665216","0.870447429728612"
"32","phi_8","0.758624156827538","0.858913877261554","0.947194221909251"
"33","phi_9","0.845176647972574","0.896611161154823","0.955067805758261"
"34","phi_10","0.8868871305924","0.920758229941745","0.960176738656296"
"35","phi_11","0.900765871791451","0.939883089620752","0.964761580045599"
"36","phi_12","0.906344389152106","0.95226539992191","0.971244052142561"
"37","phi_scale","0.434347226529269","0.664248618518121","0.95351567754411"
"38","nu0","-0.182886723811674","0.011278182988986","0.203625752183321"
"39","nu1","-0.194904995918534","-0.00314469098394483","0.18461675694104"
"40","c","0.0336032887062812","0.492636139367","0.972044159525006"
"41","b_1988","0.129879546416444","0.321217136690122","0.528392911460068"
"42","b0_2023","0.691922081706883","0.763665813429263","0.825831530143704"
"43","b_2023","0.658152665813743","0.738446411287538","0.805396171530801"
"44","b_min","0.0165394548256766","0.2518449399334","0.513372487861496"
"45","b_max","0.693881191384324","0.768441785211928","0.867166586993074"
"46","b_scale","0.02149317306353","0.327736045668507","0.669984641448817"
"47","b_eq","0.167453436253945","0.235055931492674","0.340654400373611"
