"","data","looic","waic"
"1","Aerial survey",538.779414398978,537.973029342964
"2","Reproduction",201.286038024405,200.550890598909
"3","Hunting bag (SW)",58.169051704164,56.1893879507557
"4","Hunting bag (FI)",65.5457077548588,59.3801116187889
"5","Hunting samples (SW)",379.425607804859,375.324869459862
"6","Hunting samples (FI)",366.52992219351,361.982341525114
"7","Bycatch samples",277.430062127757,277.283227438018
