"","2.5","50","97.5"
"N_1988",3525.82838661691,10245.6943457962,23931.1192633903
"N_2023",10915.1976187702,17771.6536298122,30692.9108349114
"growth_rate_1989",-6.14069367748783,-1.45931794033432,2.42920183132489
"growth_rate_2021",-4.22164663291944,-0.496712368582419,4.1503950320278
"growth_rate_2023",-2.38097060732184,0.968047756645063,5.45804656219928
"growth_rate_max",0.199202991394323,3.13577667106378,7.38579290987298
"growth_rate_asymptotic",0.283075419614875,3.27437717466168,7.62337902795672
"R0_asymptotic",1.06762175253565,1.78800556011698,3.71086007002525
"1988_freq0",0.0392599933753209,0.0939553633341737,0.164694672130756
"1988_freq1",0.0119550750178358,0.0428787559599902,0.0902779049052074
"1988_freq2",0.00995776273946767,0.0349344298279676,0.0760900474005484
"1988_freq3",0.00909557939200904,0.0309985456725436,0.0666233390541482
"1988_freq4",0.00860630283449219,0.0286407528727573,0.059636019470729
"1988_freq5",0.584156530759316,0.762405956098894,0.9090820649079
"2023_freq0",0.160740152466545,0.199638499263809,0.254686443964409
"2023_freq1",0.0392233033564743,0.0912216427608864,0.130732966602644
"2023_freq2",0.0313267333470101,0.0696185217630608,0.107505664928645
"2023_freq3",0.0254233525779023,0.0577604581984795,0.0903971027128618
"2023_freq4",0.022608309972945,0.0505959114608073,0.0775319773710469
"2023_freq5",0.426279245454851,0.530540264482489,0.640135251554151
"K_freq_0",0.0785309480442138,0.138199262556495,0.227919966720895
"K_freq_sub",0.107951999178959,0.189967891284749,0.35091227939795
"K_freq_5+",0.494382310290868,0.659238849215198,0.785467683576144
"f_freq",0.452716184044344,0.502463905813737,0.553913351741004
"phi_1",0.163870240027393,0.475098108710948,0.832824176497126
"phi_2",0.639038665371861,0.816978083003927,0.94064365206963
"phi_3",0.784688602604107,0.871301298432646,0.949053583364852
"phi_4",0.854530690693662,0.904539315110636,0.95548723927448
"phi_5",0.874214919563763,0.930623016098411,0.961281069401312
"phi_6",0.881899483634572,0.94689176222337,0.96927041772483
"phi_7",0.157127346399506,0.4714491965413,0.832232156299064
"phi_8",0.630343650308716,0.815710212270955,0.94153213276444
"phi_9",0.776840172311874,0.870765323853941,0.949716782742002
"phi_10",0.846767389203928,0.904627825789611,0.956267719473163
"phi_11",0.868674864440479,0.930475112795349,0.962573692292977
"phi_12",0.878272338792351,0.946802924320776,0.97069743370602
"phi_scale",0.170015257092474,0.503425285799449,0.936683199332915
"nu0",-0.173468607456913,0.0167872781067974,0.202419018200305
"nu1",-0.188390905262361,0.00340499485911636,0.18984567957673
"c",0.0288234140645747,0.477197024395054,0.965044903468013
"b_1988",0.0880132326122744,0.246612126789056,0.498776130549383
"b0_2023",0.70463690912945,0.768210293271553,0.82851719372269
"b_2023",0.690511449203192,0.753596539816733,0.813838990494577
"b_min",0.0112797640164495,0.183733611682228,0.476711045963385
"b_max",0.706077275852418,0.770995226255705,0.847531960871776
"b_scale",0.0148012723894323,0.238260099455762,0.614828834712615
"b_eq",0.208928865435607,0.432442722224539,0.714893734173951
"beta_0",-0.0658037530008709,2.23632766253061,6.10866091472865
"beta_1",1.10251430798796,2.99622803514986,7.92260339495965
"p_1988",0.105847670738874,0.270209379409115,0.520708669486173
"p_2022",0.722574031323883,0.784015760932219,0.838619196645739
"p_max",0.731377285866113,0.799211886106436,0.870239629285901
"p_min",0.0117192074677752,0.188593383596641,0.489072048800519
"abortion_rate_2022",0.00330724942704553,0.0391390582808802,0.0761794482809098
"K",133974.037933453,220737.322887144,334670.191438868
"theta_0",0.0094775709813743,0.138449369763469,0.291322167372187
"theta_0_raw",0.0219967445252112,0.413325831856978,0.957479291079655
"w",0.509209107703482,0.67300644691989,0.814523574949561
"w_pup",0.0895329210247108,0.430933242950797,0.731513577902437
"delta",0.139131854122815,0.653405706293019,0.986652919331103
"w_baseline",0.44422533250152,0.724240224009958,0.993292121947595
"wt_max",0.572953547439537,0.825327038471859,0.97761869790049
"w_ice_max",0.561098612762068,0.83383978746045,0.995377131054778
"w_ice_min",0.327088720057603,0.68793514576764,0.983415907500481
"d",0.00250217725810656,0.158118301823307,0.900051567562463
"f",0.148451582220857,3.64238193218761,26.9373207260161
"alpha_0",-383.833243688324,-1.03926283409344,105.147053622218
"alpha_1",-9.15649864086728,1.18854037971304,44.3323521971894
"E_fi",0.24689986929427,0.421692182748877,0.783295136042579
"E_sw_spring",0.000856003779102223,0.00224098756877132,0.00688782144447343
"E_sw_fall",0.00046739712267159,0.00151994818357159,0.00593551245775989
"sigma_fi",0.101721637686074,0.391269741940202,1.11748215421811
"sigma_sw_spring",0.627599380758396,1.02106689464313,2.00232860448986
"sigma_sw_fall",0.645351536769895,1.2211234421572,3.14971547409712
"pi_s",0.849898638338695,0.923677890180602,0.990115189096543
"pi_c",0.907713161272803,0.968517280794213,0.995311456262363
"kappa",0.00397055972765623,0.0764567661331961,0.247790550552094
"r",3.27474440233651,9.83072688853755,39.4303753383343
"rel_bc_0_1",1.88972062257215,5.86463626039211,14.5734845765463
"rel_bc0_m_f",1.00453913696947,1.37288813457225,1.87937090168859
"max_Rhat",1.00665679283704,1.00665679283704,1.00665679283704
"min_ESS",579.124348799953,579.124348799953,579.124348799953
