year,month,day,age,sex,source,body_length,CA,placental_scar
1996,4,,18,1,1,146,,
1996,4,,11,2,1,130,1,
1996,4,,14,2,1,126,0,
1996,4,,6,2,1,127,0,
1996,4,,20,2,1,136,1,
1996,4,,14,2,1,141,0,
1996,4,,18,2,1,134,1,
1996,11,,29,2,1,134,1,
1997,5,,21,1,1,147,,
1997,5,,7,2,1,130,0,
1997,5,,7,2,1,128,1,
1997,5,,6,2,1,129,1,
1997,5,,8,2,1,123,1,
1997,5,,6,2,1,127,0,
1997,5,,7,2,1,126,1,
1997,5,,7,1,1,130,,
1997,5,,16,1,1,139,,
1997,5,,15,1,1,131,,
1998,4,,4,2,1,126,0,
1998,4,,25,2,1,135,0,
1998,4,,13,2,1,128,0,
1998,4,,20,2,1,137,0,
1998,4,,4,1,1,133,,
1998,4,,7,1,1,131,,
1998,4,,14,1,1,148,,
1998,4,,1,1,1,116,,
1998,4,,12,2,1,126,0,
1998,5,,12,1,1,142,,
1999,4,,19,2,1,140,0,
1999,4,,13,2,1,134,1,
1999,5,,11,2,1,125,1,
1999,5,,10,1,1,135,,
1999,5,,22,2,1,157,1,
1999,5,,6,2,1,126,1,
1999,5,,13,1,1,128,,
2000,4,,19,1,1,143,,
2000,4,,6,2,1,130,1,
2000,4,,2,2,1,118,0,
2000,4,,14,1,1,134,,
2000,4,,27,1,1,149,,
2000,4,,15,2,1,124,1,
2000,4,,9,2,1,138,1,
2000,4,,6,1,1,132,,
2000,4,,7,1,1,140,,
2000,7,,0,2,1,,,
2001,5,,20,1,1,,,
2001,7,,1,1,1, ,,
2002,4,,13,2,4,148,1,
2002,4,,9,2,1,149,1,
2002,4,,20,2,1,144,0,
2002,4,,17,2,1,137,0,
2002,4,,16,2,1,142,,
2002,4,,9,1,1,135,,
2002,4,,6,1,1,128,,
2002,4,,17,2,1,140,1,
2002,4,,4,2,1,122,0,
2004,4,25,10,2,1,134,1,
2004,4,25,6,2,1,125,1,
2004,4,,,1,1,145,,
2004,4,,,1,1,133,,
2004,4,,,1,1,131,,
2004,4,26,6,2,1,124,1,
2004,4,27,20,2,1,137,1,
2004,4,27,6,2,1,122,,
2004,4,28,9,2,1,128,1,
2004,5,1,35,2,1,,0,
2004,5,,6,1,1,,,
2004,10,2,5,2,1,,1,
2004,,,,2,,,0,
2005,5,,,2,1,,0,
2006,4,20,2,1,1,111,,
2006,4,20,7,2,1,122,0,
2006,4,21,4,1,1,127,,
2006,4,21,6,2,1,128,0,
2006,4,21,2,1,1,110,,
2006,4,22,8,1,1,134,,
2006,4,22,6,1,1,138,,
2006,4,22,15,2,1,133,1,
2006,4,22,10,2,1,135,1,
2006,4,23,9,1,1,136,,
2006,4,23,4,1,1,123,,
2006,4,23,13,2,1,141,0,
2006,4,24,11,1,1,132,,
2006,4,24,9,1,1,143,,
2006,5,,0,0,1,,,
2007,4,21,4,1,1,126,,
2007,4,21,6,1,1,140,,
2007,4,22,8,2,1,132,1,
2007,4,22,2,1,1,123,,
2007,4,22,10,1,1,137,,
2007,4,23,16,2,1,135,0,
2007,4,23,7,1,1,142,,
2007,4,24,15,1,1,142,,
2007,4,24,20,1,1,135,,
2007,4,24,3,1,1,114,,
2007,4,12,,1,4,,,
2007,8,31,0,1,4,,,
2007,9,11,0,1,4,,,
2007,9,28,,2,2,126,,
2007,10,12,,2,4,110,1,1
2007,10,21,,2,4,150,1,
2008,3,28,,1,1,,,
