"year","month","date","sex","age","body_length","spring"
2018,6,"2018-06-12","f",3,120,TRUE
2019,6,"2019-06-05","m",9,134,TRUE
2016,5,"2016-05-09","f",12,140,TRUE
2017,5,"2016-05-09","m",1,102,TRUE
2017,10,"2017-10-08","f",18,138,FALSE
2017,9,"2017-09-25","m",10,126.5,FALSE
2017,9,"2017-09-24","m",5,149,FALSE
2017,10,"2017-10-19","f",14,138,FALSE
2017,11,"2017-11-05","f",7,124,FALSE
2017,10,"2017-10-22","f",11,136.5,FALSE
2016,8,"2016-08-30","m",10,131,FALSE
2016,8,"2016-08-29","m",7,130,FALSE
2017,11,"2017-11-05","f",0,92,FALSE
2016,8,"2016-08-29","f",NA,128.5,FALSE
2016,8,"2016-08-14","f",8,134,FALSE
2016,8,"2016-08-01","f",0,87,FALSE
2015,5,"2015-05-18","f",0,68,TRUE
2015,5,"2015-05-25","f",3,113.5,TRUE
2015,6,"2015-06-09","m",5,123,TRUE
2018,5,"2018-05-18","f",3,110,TRUE
2018,5,"2018-05-23",NA,1,100,TRUE
2018,5,"2018-05-19","m",5,136,TRUE
2018,5,"2018-05-22","f",0,100,TRUE
2018,5,"2018-05-19","m",20,127,TRUE
2018,5,"2018-05-23","f",0,100,TRUE
2018,5,"2018-05-23","f",2,100,TRUE
2018,5,"2018-05-23","f",1,101,TRUE
2018,5,"2018-05-19",NA,11,120,TRUE
2018,5,"2018-05-23","f",26,133,TRUE
2018,NA,NA,"f",3,115,NA
2018,5,"2018-05-18","f",7,140,TRUE
2018,NA,NA,"f",8,114,NA
2015,5,"2015-05-25","f",2,74,TRUE
2015,5,"2015-05-25","f",4,109,TRUE
2017,5,"2017-05-03",NA,17,135,TRUE
2017,5,"2017-05-03","m",13,150,TRUE
2017,5,"2017-05-03","m",10,145,TRUE
2017,5,"2017-05-03","f",10,130,TRUE
2018,10,"2018-10-18","m",22,144,FALSE
2015,6,"2015-06-08","m",1,100,TRUE
2019,6,"2019-06-06","m",22,143.5,TRUE
2019,6,"2019-06-04","m",NA,145.5,TRUE
2019,6,"2019-06-06","f",9,130,TRUE
2019,6,"2019-06-05","f",2,111,TRUE
2019,6,NA,"f",3,109.5,TRUE
2019,6,"2019-06-07","f",0,101.5,TRUE
2019,6,NA,"f",8,122,TRUE
2018,10,"2018-10-20","m",15,151,FALSE
2018,10,"2018-10-20","f",10,134,FALSE
2018,10,"2018-10-20","m",14,138.5,FALSE
2018,10,"2018-10-20","f",NA,34,FALSE
2018,10,"2018-10-20","m",7,139.5,FALSE
2018,10,"2018-10-20","f",7,142,FALSE
2018,11,"2018-11-14","m",17,150,FALSE
2018,10,"2018-10-04","f",5,123,FALSE
2018,10,"2018-10-04","m",9,133,FALSE
2018,10,"2018-10-04","f",7,135.5,FALSE
2019,9,"2019-09-08","f",9,134.5,FALSE
2019,9,"2019-09-09","m",12,118,FALSE
2018,11,"2018-11-04","m",13,132.5,FALSE
2019,9,"2019-09-07","m",13,130,FALSE
2018,11,"2018-11-03","f",5,115,FALSE
2018,10,"2018-10-24","m",5,124,FALSE
2018,10,"2018-10-09","f",4,114,FALSE
2019,8,"2019-08-26","m",7,129.5,FALSE
2018,10,"2018-10-09","m",5,112.5,FALSE
2019,5,"2019-05-26","m",26,135,TRUE
2019,6,"2019-06-12","f",7,130,TRUE
2019,5,"2019-05-28","m",26,150,TRUE
2019,6,"2019-06-02","f",12,130,TRUE
2019,6,"2019-06-12","m",16,135,TRUE
2019,6,"2019-06-12","f",2,100,TRUE
2019,6,"2019-06-02","f",8,120,TRUE
2019,6,"2019-06-12","f",14,140,TRUE
2019,6,"2019-05-26","m",9,125,TRUE
2019,5,"2019-05-17","m",0,115,TRUE
2019,5,"2019-05-14","f",3,120,TRUE
2018,11,"2018-11-14","f",7,122,FALSE
2019,8,"2019-08-29","m",20,127.5,FALSE
2018,11,"2018-11-14","m",2,128,FALSE
2019,6,"2019-06-02","m",2,130,TRUE
2019,6,"2019-06-02","f",NA,125,TRUE
2019,6,"2019-06-02","f",NA,105,TRUE
2019,6,"2019-05-16","m",27,145,TRUE
2020,10,"2020-10-12","m",9,134,FALSE
2020,9,"2020-09-01","f",23,123,FALSE
2020,9,"2020-09-01","f",NA,140,FALSE
2020,9,"2020-09-01","f",10,140,FALSE
2020,9,"2020-09-01","f",17,132,FALSE
2020,9,"2020-09-01","m",17,153,FALSE
2020,9,"2020-09-01","f",15,136,FALSE
2020,10,"2020-10-02","m",17,146,FALSE
2020,10,"2020-10-16","m",7,143,FALSE
2020,9,"2020-09-01","f",16,136,FALSE
2020,10,"2020-10-02","m",17,136,FALSE
2020,10,"2020-10-02","m",18,138,FALSE
2020,10,"2020-10-16","m",8,145,FALSE
2020,9,"2020-09-07","f",13,139,FALSE
2020,9,"2020-09-15","m",18,153,FALSE
2020,10,"2020-10-12","m",6,132,FALSE
2020,10,"2020-10-16","f",9,149,FALSE
2020,10,"2020-10-16","m",14,148,FALSE
2020,9,"2020-09-02","m",NA,146,FALSE
2020,10,"2020-10-01","m",11,140,FALSE
2020,9,"2020-09-15","f",10,151,FALSE
2020,9,"2020-09-24","f",3,116,FALSE
2020,9,"2020-09-01","f",8,126,FALSE
2020,9,"2020-09-14","f",13,133,FALSE
2020,10,"2020-10-14","f",14,112,FALSE
2020,10,"2020-10-16","m",11,144,FALSE
2020,10,"2020-10-12","f",NA,132,FALSE
2020,10,"2020-10-16","m",13,151,FALSE
2020,10,"2020-10-16","m",20,150,FALSE
2020,10,"2020-10-03","f",10,127,FALSE
2020,10,"2020-10-16","f",7,130,FALSE
2020,9,"2020-09-02","f",NA,136,FALSE
2020,9,"2020-09-01","m",10,135,FALSE
2020,10,"2020-10-16","m",1,117,FALSE
2020,9,"2020-09-14","f",21,130,FALSE
2020,9,"2020-09-30","f",13,130,FALSE
2020,5,"2020-05-15","f",11,115,TRUE
2020,5,"2020-05-15","f",5,110,TRUE
