"year","month","date","source","sex","age","body_length","pregnant","CA","placental_scar"
2013,10,"2013-10-12","bycaught","f",0,102.5,NA,0,0
2012,10,"2012-10-20","bycaught","f",2,109,NA,0,0
2012,9,"2012-09-13","bycaught","f",0,91.5,0,0,0
2016,NA,NA,NA,"m",23,137,NA,NA,NA
2013,11,"2013-11-07","hunted","f",11,118,0,0,NA
2013,11,"2013-11-19","bycaught","m",3,123.5,NA,NA,NA
2013,11,"2013-11-07","hunted","f",12,124,1,NA,NA
2013,4,"2013-04-22","hunted","m",11,NA,NA,NA,NA
2012,10,"2012-10-26","hunted","f",12,124,1,1,NA
2012,7,"2012-07-09","bycaught","f",0,99,0,0,0
2012,9,"2012-09-07","bycaught","m",0,93.5,NA,NA,NA
2012,11,NA,"hunted","m",1,117,NA,NA,NA
2012,11,NA,"hunted","m",2,108.5,NA,NA,NA
2012,5,NA,"stranded","f",0,73.5,0,0,0
2012,9,"2012-09-02","bycaught","m",0,102,NA,NA,NA
2014,6,"2014-06-09","stranded","m",0,87,NA,NA,NA
2014,9,"2014-09-05","bycaught","m",0,98,NA,NA,NA
2014,11,"2014-11-03","hunted","f",23,125,NA,1,NA
2014,11,"2014-11-03","hunted","m",4,125,NA,NA,NA
2013,11,"2013-11-02","hunted","m",12,132.5,NA,NA,NA
2013,11,"2013-11-02","hunted","f",0,104,NA,0,0
2014,8,"2014-08-20","bycaught","f",0,98,0,0,0
2014,4,"2014-04-02","stranded","m",0,103,NA,NA,NA
2012,9,"2012-09-12","bycaught","f",0,100,0,0,0
2014,6,"2014-06-28","bycaught","f",0,91.5,0,0,0
2014,7,"2014-07-09","bycaught","m",0,94.5,NA,NA,NA
2014,8,"2014-08-16","bycaught","f",0,93.5,0,NA,0
2014,7,"2014-07-04","bycaught","m",0,81.5,NA,NA,NA
2014,5,"2014-05-23","bycaught","m",0,73,NA,NA,NA
2014,6,"2014-06-27","bycaught","m",0,84,NA,NA,NA
2014,6,"2014-06-20","bycaught","f",0,83,0,0,0
2014,6,"2014-06-26","bycaught","m",0,83,NA,NA,NA
2013,6,"2013-06-10","bycaught","m",0,77,NA,NA,NA
2014,10,"2014-10-03","bycaught","m",0,95,NA,NA,NA
2014,6,"2014-06-20","bycaught","m",0,87,NA,NA,NA
2014,7,"2014-07-19","bycaught","m",0,92.5,NA,NA,NA
2014,5,"2014-05-26","bycaught","m",0,76,NA,NA,NA
2014,8,"2014-08-16","bycaught","f",0,91,0,0,0
2014,10,"2014-10-17","bycaught","m",1,110,NA,NA,NA
2015,5,"2015-05-21","bycaught","f",1,104,0,NA,NA
2014,9,"2014-09-25","bycaught","f",0,96,0,0,0
2014,11,"2014-11-06","bycaught","f",0,108,0,0,0
2015,4,"2015-04-17","hunted","m",5,120,NA,NA,NA
2015,4,"2015-04-15","hunted","f",3,105,NA,NA,NA
2015,7,"2015-07-13","bycaught","m",0,91.5,NA,NA,NA
2015,6,"2015-06-22","hunted","f",1,106.5,0,0,0
2015,6,"2015-05-06","bycaught","m",1,100.5,NA,NA,NA
2015,6,"2015-05-06","hunted","m",33,142,NA,NA,NA
2016,NA,NA,"hunted",NA,0,NA,NA,NA,NA
NA,NA,NA,"hunted",NA,0,NA,NA,NA,NA
NA,NA,NA,"hunted",NA,1,NA,NA,NA,NA
NA,NA,NA,"hunted",NA,0,NA,NA,NA,NA
2015,6,"2015-05-06","hunted","m",0,74,NA,NA,NA
2015,6,"2015-05-06","hunted","f",0,70,0,0,0
2015,NA,NA,"hunted","m",24,126.5,NA,NA,NA
2015,5,"2015-05-01","bycaught","m",0,91,NA,NA,NA
2015,9,"2015-09-29","bycaught","m",0,107,NA,NA,NA
2015,10,"2015-10-09",NA,"f",2,116,0,0,0
2015,10,"2015-10-10",NA,"m",1,111,NA,NA,NA
2015,8,"2015-08-13","hunted","f",6,121,1,1,NA
2015,6,"2015-06-22","hunted","f",8,134,0,1,1
2015,10,"2015-10-03","hunted","m",1,120,NA,NA,NA
2015,6,"2015-06-22","hunted","f",2,114.5,0,0,0
2015,9,"2015-09-20","hunted","f",3,121,0,0,0
2015,5,"2015-05-30","hunted","m",29,133.5,NA,NA,NA
2015,12,"2015-12-09","hunted","m",17,150,NA,NA,NA
NA,2,NA,"hunted","m",0,91,NA,NA,NA
2015,7,"2015-07-19","bycaught","m",0,100.5,NA,NA,NA
2015,6,"2015-06-25","bycaught","f",20,132,0,1,1
2015,10,"2015-10-09","bycaught","f",0,108,0,0,0
2015,10,"2015-10-31","bycaught","f",0,96.5,0,NA,0
2015,8,"2015-08-28","bycaught","f",1,106.5,0,0,0
2016,9,"2016-09-08","hunted","m",26,NA,NA,NA,NA
2015,NA,NA,"bycaught","m",0,93,NA,NA,NA
2016,7,"2016-07-09","bycaught","m",0,99.5,NA,NA,NA
2015,5,"2015-05-27","bycaught","f",0,64,0,0,0
2016,7,NA,"bycaught","m",1,109,NA,NA,NA
2015,8,"2015-08-16","hunted","f",2,96,NA,0,0
2015,8,"2015-08-16","hunted","m",0,82,NA,NA,NA
2015,9,"2015-09-04","bycaught","m",0,98,NA,NA,NA
2015,9,"2015-09-10","hunted","m",3,140,NA,NA,NA
2016,5,"2016-05-04","hunted","m",2,122,NA,NA,NA
2016,12,"2016-12-20","hunted","m",17,110,NA,NA,NA
2016,5,"2016-05-08","hunted","m",1,117,NA,NA,NA
2016,5,"2016-05-08","hunted","m",17,135,NA,NA,NA
2016,5,"2016-05-08","hunted","m",17,128,NA,NA,NA
2016,5,"2016-05-09","hunted","m",8,129,NA,NA,NA
2016,5,"2016-05-09","hunted","m",13,140,NA,NA,NA
2016,6,"2016-06-02","hunted","m",12,142,NA,NA,NA
2016,5,"2016-05-16","hunted","m",NA,137,NA,NA,NA
2016,5,"2016-05-20","hunted","f",9,116,0,NA,NA
2016,5,"2016-05-24","hunted","f",21,122,0,1,NA
2016,5,NA,"hunted","m",6,120,NA,NA,NA
2016,5,"2016-05-07","hunted","f",13,102,0,NA,NA
2016,5,"2016-05-11","hunted","m",10,160,NA,NA,NA
2015,9,"2015-09-07","hunted","f",11,117,NA,1,1
2017,10,"2017-10-14","bycaught","m",0,102,NA,NA,NA
2016,5,"2016-05-07","hunted","m",21,130,NA,NA,NA
2016,5,"2016-05-07","hunted","m",3,110,NA,NA,NA
2016,5,"2016-05-14","hunted","f",10,150,NA,NA,NA
2015,6,"2015-06-09","hunted","m",3,140,NA,NA,NA
2015,10,"2015-10-11","hunted","m",9,135,NA,NA,NA
2017,5,"2017-05-06","hunted","m",18,135,NA,NA,NA
2018,6,"2018-06-01","hunted","f",17,132,NA,1,NA
2018,6,"2018-06-09","hunted","f",5,138,0,1,NA
2018,6,"2018-06-09","hunted","f",1,117,NA,0,0
2018,6,"2018-06-09","hunted","f",1,111,NA,0,0
2016,10,"2016-10-23","hunted","m",9,140,NA,NA,NA
2016,10,"2016-10-23","hunted","m",1,110,NA,NA,NA
2015,6,"2015-06-20","hunted","f",11,121,NA,NA,1
2015,6,"2015-06-21","bycaught","m",0,80,NA,NA,NA
2017,10,"2017-10-21","bycaught","f",0,101,0,0,0
NA,NA,NA,"hunted","f",2,115,0,0,0
2015,6,"2015-06-20","hunted","f",13,119,NA,NA,1
2015,12,"2015-12-13","hunted","m",19,134,NA,NA,NA
2015,12,"2015-12-13","hunted","m",5,139,NA,NA,NA
NA,NA,NA,"hunted","f",6,126,1,NA,NA
2015,12,"2015-12-28","hunted","m",4,123,NA,NA,NA
NA,NA,NA,"hunted","m",15,139,NA,NA,NA
2015,12,"2015-12-06","hunted","m",20,127,NA,NA,NA
2017,10,"2017-10-06","hunted","f",17,136,0,NA,NA
2016,8,"2016-08-21","bycaught","f",0,88,NA,0,0
2015,11,NA,"hunted","f",10,139,1,NA,NA
2015,11,NA,"hunted","m",NA,41,NA,NA,NA
2015,12,"2015-12-12","hunted","m",4,117,NA,NA,NA
2015,NA,NA,"hunted","f",11,136,0,1,1
2017,6,"2017-06-03","bycaught","m",0,85,NA,NA,NA
2015,12,"2015-12-27","hunted","m",3,125,NA,NA,NA
2015,12,"2015-12-27","hunted","m",15,141,NA,NA,NA
2015,12,"2015-12-06","hunted","m",1,97,NA,NA,NA
2017,12,"2017-12-18","hunted","m",0,101,NA,NA,NA
NA,NA,NA,"hunted","m",23,129,NA,NA,NA
2017,10,"2017-10-01","hunted","m",26,138,NA,NA,NA
2017,10,"2017-10-01","hunted","m",6,128,NA,NA,NA
2015,NA,NA,"hunted","m",32,148,NA,NA,NA
2016,10,"2016-10-12","hunted","m",17,122,NA,NA,NA
2015,12,"2015-12-27","hunted","m",6,111.5,NA,NA,NA
2015,12,"2015-12-27","hunted","m",2,108,NA,NA,NA
2016,10,"2016-10-12","hunted","f",3,117,0,0,0
2013,11,"2013-11-01","hunted","f",3,121,1,0,0
NA,NA,NA,"hunted","f",18,130,1,1,NA
2015,6,"2015-06-08","hunted","m",1,95,NA,NA,NA
NA,NA,NA,"hunted","m",16,136,NA,NA,NA
2017,8,"2017-08-29","hunted","m",NA,139,NA,NA,NA
2017,8,"2017-08-01","hunted","f",9,128,1,1,NA
2017,10,"2017-10-29","hunted","f",11,152,1,NA,NA
2017,10,"2017-10-29","hunted","f",NA,36,NA,NA,NA
2017,10,"2017-10-01","hunted","m",5,129,NA,NA,NA
2017,10,"2017-10-05","hunted","f",17,134,1,NA,NA
2017,5,"2017-05-21","hunted","f",2,NA,0,0,0
2017,10,"2017-10-06","hunted","f",12,131,1,NA,1
2017,8,"2017-08-21","hunted","f",NA,133.5,1,NA,NA
2017,10,"2017-10-06","hunted","m",23,137,NA,NA,NA
2017,8,"2017-08-21","hunted","m",8,138.5,NA,NA,NA
2018,3,"2018-03-15",NA,"m",23,140,NA,NA,NA
2016,8,"2016-08-01","hunted","f",NA,140,1,NA,NA
2016,8,"2016-08-01","hunted","m",16,131.5,NA,NA,NA
2015,12,"2015-12-28","hunted","m",2,110.5,NA,NA,NA
2015,12,"2015-12-28","hunted","m",3,107,NA,NA,NA
2018,6,"2018-06-13","hunted","m",5,130,NA,NA,NA
2018,6,"2018-06-14","hunted","m",1,105,NA,NA,NA
2018,6,"2018-06-14","hunted","f",32,NA,NA,NA,1
2018,6,"2018-06-12","hunted","f",3,120,NA,NA,0
2019,6,"2019-06-05","hunted","m",9,134,NA,NA,NA
2016,5,"2016-05-09","hunted","f",12,140,NA,NA,NA
2017,5,"2016-05-09","hunted","m",1,102,NA,NA,NA
2017,10,"2017-10-08","hunted","f",18,138,1,1,NA
2017,9,"2017-09-25","hunted","m",10,126.5,NA,NA,NA
2017,9,"2017-09-24","hunted","m",5,149,NA,NA,NA
2017,10,"2017-10-19","hunted","f",14,138,1,1,NA
2016,10,"2016-10-10","bycaught","m",0,95,NA,NA,NA
2017,11,"2017-11-05","hunted","f",7,124,1,1,NA
2017,10,"2017-10-22","hunted","f",11,136.5,0,NA,NA
2016,8,"2016-08-30","hunted","m",10,131,NA,NA,NA
2016,8,"2016-08-28","bycaught","f",0,95,NA,0,0
2016,8,"2016-08-29","hunted","m",7,130,NA,NA,NA
2017,11,"2017-11-05","hunted","f",0,92,0,0,0
2016,8,"2016-08-29","hunted","f",NA,128.5,0,NA,NA
2016,8,"2016-08-14","hunted","f",8,134,1,0,NA
2016,8,"2016-08-01","bycaught","f",0,80,0,0,0
2016,8,"2016-08-01","hunted","f",0,87,0,0,0
2015,5,"2015-05-18","hunted","f",0,68,NA,0,0
2015,5,"2015-05-25","hunted","f",3,113.5,0,0,0
2015,6,"2015-06-09","hunted","m",5,123,NA,NA,NA
2018,5,"2018-05-18","hunted","f",3,110,NA,0,0
2018,5,"2018-05-23","hunted",NA,1,100,NA,NA,NA
2018,5,"2018-05-19","hunted","m",5,136,NA,NA,NA
2018,5,"2018-05-22","hunted","f",0,100,NA,0,0
2018,5,"2018-05-19","hunted","m",20,127,NA,NA,NA
2018,5,"2018-05-23","hunted","f",0,100,NA,0,0
2018,5,"2018-05-23","hunted","f",2,100,NA,0,0
2018,5,"2018-05-23","hunted","f",1,101,NA,0,0
2018,5,"2018-05-19","hunted",NA,11,120,NA,NA,NA
2018,5,"2018-05-23","hunted","f",26,133,NA,1,NA
2018,NA,NA,"hunted","f",3,115,NA,NA,NA
2018,5,"2018-05-18","hunted","f",7,140,NA,NA,NA
2018,NA,NA,"hunted","f",8,114,NA,1,NA
2015,5,"2015-05-25","hunted","f",2,74,NA,0,0
2015,5,"2015-05-25","hunted","f",4,109,NA,1,NA
2017,5,"2017-05-03","hunted",NA,17,135,NA,NA,NA
2017,5,"2017-05-03","hunted","m",13,150,NA,NA,NA
2017,5,"2017-05-03","hunted","m",10,145,NA,NA,NA
2017,5,"2017-05-03","hunted","f",10,130,NA,NA,NA
2018,10,"2018-10-18","hunted","m",22,144,NA,NA,NA
2018,NA,NA,"bycaught","m",0,74.1,NA,NA,NA
2015,6,"2015-06-08","hunted","m",1,100,NA,NA,NA
2019,6,"2019-06-06","hunted","m",22,143.5,NA,NA,NA
2019,6,"2019-06-04","hunted","m",NA,145.5,NA,NA,NA
2019,6,"2019-06-06","hunted","f",9,130,NA,0,0
2019,6,"2019-06-05","hunted","f",2,111,0,0,0
2019,6,NA,"hunted","f",3,109.5,0,0,0
2019,6,"2019-06-07","hunted","f",0,101.5,0,0,0
