"year","month","date","source","sex","age","body_length","pregnant","CA","placental_scar"
2019,9,"2019-09-14","hunted","m",21,133,NA,NA,NA
2019,10,"2019-10-10","hunted","m",0,83,NA,NA,NA
2019,9,"2019-09-18","hunted","m",13,122,NA,NA,NA
2021,6,"2021-06-13","bycaught","m",0,78,NA,NA,NA
2021,10,"2021-10-13","hunted","m",NA,138,NA,NA,NA
2021,9,"2021-09-04","hunted","m",2,115,NA,NA,NA
2021,9,"2021-09-04","hunted","f",1,107,0,NA,NA
2021,9,"2021-09-04","hunted","m",5,125,NA,NA,NA
2021,9,"2021-09-18","hunted","f",7,127,1,0,0
2021,9,"2021-09-01","hunted","f",11,140,1,0,0
2021,9,"2021-09-01","hunted","m",22,147,NA,NA,NA
2021,9,"2021-09-05","hunted","f",6,137,1,0,0
2019,10,"2019-10-10","hunted","m",13,133.5,NA,NA,NA
2019,9,"2019-09-18","hunted","m",9,122.5,NA,NA,NA
2021,10,"2021-10-09","hunted","m",10,139,NA,NA,NA
2021,9,"2021-09-16","hunted","m",19,143,NA,NA,NA
2021,9,"2021-09-18","hunted","m",8,139,NA,NA,NA
2021,9,"2021-09-16","hunted","m",14,139,NA,NA,NA
2021,9,"2021-09-18","hunted","m",23,157,NA,NA,NA
2021,10,"2021-10-10","hunted","f",9,134,1,0,0
2021,9,"2021-09-16","hunted","m",9,131,NA,NA,NA
2021,10,"2021-10-13","hunted","m",10,150,NA,NA,NA
2021,10,"2021-10-13","hunted","f",NA,145,1,0,0
2021,10,"2021-10-13","hunted","m",14,150,NA,NA,NA
2021,9,"2021-09-01","hunted","f",21,140,1,0,0
2019,9,"2019-09-23","hunted","f",0,91,0,0,0
2021,9,"2021-09-01","hunted","f",16,135,1,0,0
2021,10,"2021-10-13","hunted","f",12,138,1,0,0
2021,9,"2021-09-05","hunted","f",8,133,1,0,0
2021,9,"2021-09-01","hunted","m",NA,145,NA,NA,NA
2021,9,"2021-09-11","hunted","f",NA,140,1,0,0
2021,10,"2021-10-13","hunted","m",15,140,NA,NA,NA
2021,9,"2021-09-01","hunted","m",25,145,NA,NA,NA
2021,5,"2021-05-10","hunted","f",8,115,0,1,0
2021,10,"2021-10-10","hunted","m",22,148,NA,NA,NA
2021,10,"2021-10-13","hunted","f",4,125,1,0,0
2021,9,"2021-09-09","hunted","f",25,146,1,0,0
2021,10,"2021-10-09","hunted","m",10,137,NA,NA,NA
2021,9,"2021-09-01","hunted","m",14,152,NA,NA,NA
2021,10,"2021-10-09","hunted","f",9,127,1,0,0
2019,9,"2019-09-07","hunted","m",3,130,NA,NA,NA
2019,9,"2019-09-07","hunted","m",16,136,NA,NA,NA
2019,9,"2019-09-07","hunted","m",16,113.5,NA,NA,NA
2021,10,"2021-10-19","hunted","f",12,141,1,0,0
2019,5,"2019-05-17","hunted","f",1,100,0,0,0
2019,5,"2019-05-17","hunted","f",2,102,0,0,0
2019,5,"2019-05-18","hunted","m",2,106,NA,NA,NA
2021,5,"2021-05-16","hunted","f",10,107,0,1,1
2021,5,"2021-05-16","hunted","f",3,100,0,0,0
2021,5,"2021-05-16","hunted","f",8,119,0,1,1
2021,5,"2021-05-16","hunted","f",5,120,0,1,0
2021,5,"2021-05-10","hunted","f",1,106,0,0,0
2021,5,"2021-05-16","hunted","f",10,128,0,1,1
2021,5,"2021-05-13","hunted","f",9,120,0,1,1
2021,5,"2021-05-15","hunted","f",13,115,0,1,0
2021,5,"2021-05-16","hunted","f",7,125,0,1,1
2021,5,"2021-05-16","hunted","f",6,120,0,1,1
2021,5,"2021-05-10","hunted","f",0,106,0,0,0
2021,5,"2021-05-16","hunted","f",16,120,0,0,0
2019,10,"2019-10-10","hunted","m",28,135,NA,NA,NA
2019,10,"2019-10-10","hunted","m",1,122,NA,NA,NA
2021,5,"2021-05-07","hunted","f",11,135,0,1,1
2021,5,"2021-05-07","hunted","f",9,135,0,1,1
2021,5,"2021-05-05","hunted","f",7,130,0,NA,NA
2021,5,"2021-05-06","hunted","f",1,115,0,0,0
2021,5,"2021-05-16","hunted","f",5,122,0,NA,1
2021,5,"2021-05-16","hunted","f",8,119,0,1,0
2019,10,"2019-10-10","hunted","f",NA,134,1,1,0
2021,10,"2021-10-19","hunted","f",7,134,1,0,0
2021,10,"2021-10-19","hunted","f",NA,31,NA,NA,NA
2021,10,"2021-10-19","hunted","f",14,142,1,0,0
2021,10,"2021-10-13","hunted","m",NA,130,NA,NA,NA
2021,10,"2021-10-13","hunted","m",9,134,NA,NA,NA
2021,10,"2021-10-13","hunted","f",8,130,1,0,0
2021,10,"2021-10-13","hunted","f",0,95,0,NA,NA
2021,9,"2021-09-05","hunted","f",9,130,0,0,0
2021,5,"2021-05-10","hunted","f",4,122,NA,0,0
2021,5,"2021-05-16","hunted","f",15,136,NA,1,1
2021,5,"2021-05-16","hunted","f",NA,121,NA,1,1
2021,5,"2021-05-16","hunted","f",7,119,NA,1,1
2021,5,"2021-05-16","hunted","f",11,124,NA,1,1
2021,5,"2021-05-10","hunted","f",0,100,0,0,0
2021,5,"2021-05-16","hunted","f",2,114,NA,0,0
2021,5,"2021-05-16","hunted","f",NA,122,NA,1,1
2021,10,"2021-10-19","hunted","m",NA,31,NA,NA,NA
2021,9,"2021-09-05","hunted","m",15,128,NA,NA,NA
2021,5,"2021-05-16","hunted","f",6,133,NA,NA,NA
2021,5,"2021-05-16","hunted","f",2,108,0,0,0
2021,5,"2021-05-16","hunted","f",0,104,0,0,0
2021,5,"2021-05-16","hunted","f",9,129,0,1,1
2019,5,"2019-05-17","hunted","f",4,125,0,0,0
2019,5,"2019-05-17","hunted","f",9,135,0,0,0
2019,5,"2019-05-23","hunted","m",0,125,NA,NA,NA
2019,5,"2019-05-23","hunted","f",2,120,0,0,0
2019,5,"2019-05-26","hunted","m",NA,110,NA,NA,NA
2019,5,"2019-05-16","hunted","f",1,125,0,0,0
2020,5,"2020-05-07","hunted","f",1,103,0,0,0
2020,5,"2020-05-01","hunted","f",0,100,0,0,0
2020,5,"2020-05-01","hunted","f",0,110,0,0,0
2020,5,"2020-05-09","hunted","f",0,100,0,0,0
2020,5,"2020-05-08","hunted","f",31,125,0,1,0
2020,5,"2020-05-08","hunted","f",0,103,0,0,0
2022,5,"2022-05-29","hunted","f",2,101,0,0,0
2020,5,"2020-05-08","hunted","m",5,125,NA,NA,NA
2022,5,"2022-05-29","hunted","f",6,134,0,1,0
2021,5,"2021-05-14","hunted","f",3,119,0,0,0
2019,5,"2019-05-15","hunted","m",18,135,NA,NA,NA
2019,5,"2019-05-17","hunted","m",0,105,NA,NA,NA
2019,5,"2019-05-15","hunted","f",6,135,0,0,NA
2019,5,"2019-05-18","hunted","m",0,106,NA,NA,NA
2019,5,"2019-05-05","hunted","f",NA,127,NA,1,1
2022,6,"2022-06-13","hunted","f",NA,154,0,1,1
2022,6,"2022-06-13","hunted","f",NA,110,0,1,1
2022,5,"2022-05-04","hunted","f",NA,123,0,0,0
2022,5,"2022-05-30","hunted","f",NA,135,0,0,0
2022,5,"2022-05-04","hunted","f",NA,130,0,1,1
2022,5,"2022-05-04","hunted","f",NA,138,0,1,1
2022,5,"2022-05-04","hunted","f",NA,130,0,0,0
2022,5,"2022-05-01","hunted","f",NA,135,0,1,1
2022,5,"2022-05-26","hunted","f",NA,NA,0,1,0
2022,5,"2022-05-01","hunted","f",14,133,0,1,1
2022,5,"2022-05-01","hunted","f",NA,101,0,0,NA
2022,5,"2022-05-01","hunted","f",NA,103,NA,NA,NA
2022,5,"2022-05-01","hunted","f",NA,122,0,1,1
2022,5,"2022-05-01","hunted","f",NA,140,0,1,1
2022,5,"2022-05-01","hunted","f",NA,113,0,0,NA
2022,5,"2022-05-01","hunted","f",NA,109,0,0,NA
2022,9,"2022-09-04","hunted","f",0,90,NA,NA,NA
2022,9,"2022-09-01","hunted","m",0,85,NA,NA,NA
2022,9,"2022-09-01","hunted","m",0,90,NA,NA,NA
2022,9,"2022-09-04","hunted","f",0,95,NA,NA,NA
2004,6,"2004-06-16","hunted","m",5,112,NA,NA,NA
2004,NA,NA,"bycaught","f",NA,62,NA,NA,NA
2007,11,"2007-11-01","hunted","f",2,117,0,0,0
2007,11,"2007-11-01","hunted","f",0,94.5,0,0,0
2008,6,"2008-06-16","bycaught","f",0,87,0,0,0
2008,7,"2008-07-08","bycaught","m",0,84.5,NA,NA,NA
2008,5,"2008-05-21","hunted","f",12,126.5,0,1,1
2008,10,"2008-10-01","bycaught","f",27,150,1,1,1
2008,6,"2008-06-21","bycaught","f",0,74.5,NA,0,0
2008,6,"2008-06-05","hunted","f",1,101.5,0,0,0
2008,5,"2005-05-20","hunted","f",4,124,0,1,1
2008,5,"2008-05-30","hunted","f",4,114,0,0,0
2008,11,"2008-11-12","hunted","f",0,120,0,0,0
2008,5,"2008-05-30","hunted","m",1,111.5,NA,NA,NA
2008,6,"2008-06-03","hunted","f",3,111,0,0,0
2008,10,"2008-10-29","hunted","m",5,125,NA,NA,NA
2008,6,"2008-06-16","hunted","f",0,94.5,0,0,0
2008,5,"2008-05-30","hunted","m",1,105.5,NA,NA,NA
2008,10,"2008-10-01","hunted","m",7,109,NA,NA,NA
2008,NA,NA,"bycaught","f",26,NA,0,0,NA
2009,NA,NA,"hunted","m",7,136.5,NA,NA,NA
2009,NA,NA,"hunted","m",4,125,NA,NA,NA
2009,10,"2009-10-01","hunted","f",2,117.5,0,0,0
2009,10,"2009-10-30","bycaught","f",10,144,1,1,NA
2009,10,"2009-10-28","bycaught","f",0,85,NA,NA,NA
2009,10,"2009-10-01","hunted","m",25,124.5,NA,NA,NA
