"","x"
"1",0.128767123287671
"2",0.123287671232877
"3",0.30958904109589
"4",0.180821917808219
"5",0.180821917808219
"6",0.180821917808219
"7",0.452054794520548
"8",0.30958904109589
"9",0.591780821917808
"10",0.30958904109589
"11",0.556164383561644
"12",0.246575342465753
"13",0.775342465753425
"14",0.523287671232877
"15",0.46027397260274
"16",0.46027397260274
"17",0.528767123287671
"18",0.175342465753425
"19",0.805479452054795
"20",0.186301369863014
"21",0.186301369863014
"22",0.186301369863014
"23",0.189041095890411
"24",0.189041095890411
"25",0.254794520547945
"26",0.208219178082192
"27",0.219178082191781
"28",0.23013698630137
"29",0.183561643835616
"30",0.194520547945205
"31",0.520547945205479
"32",0.183561643835616
"33",0.183561643835616
"34",0.202739726027397
"35",0.273972602739726
"36",0.613698630136986
"37",0.180821917808219
"38",0.252054794520548
"39",0.273972602739726
"40",0.273972602739726
"41",0.273972602739726
"42",0.646575342465753
"43",0.646575342465753
"44",0.304109589041096
"45",0.304109589041096
"46",0.786301369863014
"47",0.786301369863014
"48",0.827397260273973
"49",0.767123287671233
"50",0.6
"51",0.783561643835616
"52",0.824657534246575
"53",0.824657534246575
"54",0.767123287671233
"55",0.8
"56",0.586301369863014
"57",0.586301369863014
"58",0.616438356164384
"59",0.824657534246575
"60",0.824657534246575
"61",0.616438356164384
"62",0.271232876712329
"63",0.495890410958904
"64",0.419178082191781
"65",0.663013698630137
"66",0.663013698630137
"67",0.586301369863014
"68",0.597260273972603
"69",0.221917808219178
"70",0.6
"71",0.473972602739726
"72",0.6
"73",0.473972602739726
"74",0.419178082191781
"75",0.419178082191781
"76",0.827397260273973
"77",0.827397260273973
"78",0.284931506849315
"79",0.287671232876712
"80",0.287671232876712
"81",0.282191780821918
"82",0.263013698630137
"83",0.189041095890411
"84",0.605479452054794
"85",0.56986301369863
"86",0.567123287671233
"87",0.635616438356164
"88",0.682191780821918
"89",0.643835616438356
"90",0.498630136986301
"91",0.495890410958904
"92",0.682191780821918
"93",0.495890410958904
"94",0.454794520547945
"95",0.419178082191781
"96",0.213698630136986
"97",0.232876712328767
"98",0.273972602739726
"99",0.213698630136986
"100",0.227397260273973
"101",0.216438356164384
"102",0.224657534246575
"103",0.216438356164384
"104",0.227397260273973
"105",0.227397260273973
"106",0.227397260273973
"107",0.216438356164384
"108",0.227397260273973
"109",0.213698630136986
"110",0.232876712328767
"111",0.232876712328767
"112",0.172602739726027
"113",0.172602739726027
"114",0.172602739726027
"115",0.172602739726027
"116",0.632876712328767
"117",0.271232876712329
"118",0.265753424657534
"119",0.26027397260274
"120",0.265753424657534
"121",0.263013698630137
"122",0.268493150684932
"123",0.638356164383562
"124",0.638356164383562
"125",0.638356164383562
"126",0.638356164383562
"127",0.638356164383562
"128",0.638356164383562
"129",0.706849315068493
"130",0.594520547945205
"131",0.594520547945205
"132",0.594520547945205
"133",0.523287671232877
"134",0.526027397260274
"135",0.679452054794521
"136",0.520547945205479
"137",0.676712328767123
"138",0.649315068493151
"139",0.608219178082192
"140",0.487671232876712
"141",0.608219178082192
"142",0.235616438356164
"143",0.282191780821918
"144",0.241095890410959
"145",0.254794520547945
"146",0.282191780821918
"147",0.282191780821918
"148",0.254794520547945
"149",0.282191780821918
"150",0.235616438356164
"151",0.210958904109589
"152",0.202739726027397
"153",0.706849315068493
"154",0.495890410958904
"155",0.706849315068493
"156",0.254794520547945
"157",0.254794520547945
"158",0.254794520547945
"159",0.208219178082192
"160",0.616438356164384
"161",0.504109589041096
"162",0.504109589041096
"163",0.504109589041096
"164",0.504109589041096
"165",0.504109589041096
"166",0.504109589041096
"167",0.589041095890411
"168",0.627397260273973
"169",0.504109589041096
"170",0.589041095890411
"171",0.589041095890411
"172",0.627397260273973
"173",0.520547945205479
"174",0.542465753424658
"175",0.616438356164384
"176",0.627397260273973
"177",0.627397260273973
"178",0.506849315068493
"179",0.586301369863014
"180",0.542465753424658
"181",0.567123287671233
"182",0.504109589041096
"183",0.53972602739726
"184",0.621917808219178
"185",0.627397260273973
"186",0.616438356164384
"187",0.627397260273973
"188",0.627397260273973
"189",0.591780821917808
"190",0.627397260273973
"191",0.506849315068493
"192",0.504109589041096
"193",0.627397260273973
"194",0.53972602739726
"195",0.583561643835616
"196",0.205479452054795
"197",0.205479452054795
"198",0.205479452054795
"199",0.627397260273973
"200",0.520547945205479
"201",0.616438356164384
"202",0.504109589041096
"203",0.627397260273973
"204",0.567123287671233
"205",0.515068493150685
"206",0.53972602739726
"207",0.594520547945205
"208",0.205479452054795
"209",0.205479452054795
"210",0.202739726027397
"211",0.202739726027397
"212",0.197260273972603
"213",0.232876712328767
"214",0.197260273972603
"215",0.210958904109589
"216",0.235616438356164
"217",0.210958904109589
"218",0.249315068493151
"219",0.213698630136986
"220",0.213698630136986
"221",0.210958904109589
"222",0.210958904109589
"223",0.219178082191781
"224",0.210958904109589
"225",0.53972602739726
"226",0.575342465753425
"227",0.575342465753425
"228",0.512328767123288
"229",0.512328767123288
"230",0.512328767123288
"231",0.6
"232",0.610958904109589
"233",0.605479452054794
"234",0.610958904109589
"235",0.575342465753425
"236",0.232876712328767
"237",0.268493150684932
"238",0.493150684931507
"239",0.493150684931507
"240",0.493150684931507
"241",0.580821917808219
"242",0.498630136986301
"243",0.575342465753425
"244",0.50958904109589
"245",0.501369863013699
"246",0.520547945205479
"247",0.550684931506849
"248",0.542465753424658
"249",0.53972602739726
"250",0.610958904109589
"251",0.550684931506849
"252",0.619178082191781
"253",0.512328767123288
"254",0.512328767123288
"255",0.512328767123288
"256",0.550684931506849
"257",0.504109589041096
"258",0.504109589041096
"259",0.515068493150685
"260",0.610958904109589
"261",0.550684931506849
"262",0.608219178082192
"263",0.545205479452055
"264",0.550684931506849
"265",0.545205479452055
"266",0.550684931506849
"267",0.610958904109589
"268",0.545205479452055
"269",0.619178082191781
"270",0.619178082191781
"271",0.619178082191781
"272",0.504109589041096
"273",0.564383561643836
"274",0.504109589041096
"275",0.619178082191781
"276",0.515068493150685
"277",0.504109589041096
"278",0.531506849315069
"279",0.619178082191781
"280",0.504109589041096
"281",0.191780821917808
"282",0.610958904109589
"283",0.619178082191781
"284",0.526027397260274
"285",0.608219178082192
"286",0.504109589041096
"287",0.608219178082192
"288",0.520547945205479
"289",0.520547945205479
"290",0.520547945205479
"291",0.635616438356164
"292",0.210958904109589
"293",0.210958904109589
"294",0.213698630136986
"295",0.208219178082192
"296",0.208219178082192
"297",0.208219178082192
"298",0.208219178082192
"299",0.191780821917808
"300",0.208219178082192
"301",0.2
"302",0.205479452054795
"303",0.208219178082192
"304",0.208219178082192
"305",0.191780821917808
"306",0.208219178082192
"307",0.610958904109589
"308",0.610958904109589
"309",0.183561643835616
"310",0.183561643835616
"311",0.178082191780822
"312",0.180821917808219
"313",0.208219178082192
"314",0.208219178082192
"315",0.610958904109589
"316",0.635616438356164
"317",0.635616438356164
"318",0.635616438356164
"319",0.619178082191781
"320",0.619178082191781
"321",0.619178082191781
