"","2.5","50","97.5"
"N_1988",3555.58497959194,4854.00248971466,6704.03222168221
"N_2023",20663.0029221129,27559.1718107527,36932.6002642496
"growth_rate_1989",-1.62714557003287,1.69302991216282,4.53538902043775
"growth_rate_2021",2.61282472115894,4.69013588559737,6.65161323421948
"growth_rate_2023",2.41252536789507,4.46123917088141,6.55456138985029
"growth_rate_max",5.62599135276149,6.84092992729295,8.18962808387709
"growth_rate_asymptotic",5.99783264697822,7.14970241889947,8.88619568779567
"R0_asymptotic",2.30701339563796,3.30368751054497,4.66287868174128
"1988_freq0",0.0549219958869434,0.108105579792009,0.151743369845698
"1988_freq1",0.0299922564012935,0.0662776473403356,0.102899543912742
"1988_freq2",0.0263838374102625,0.0553751352044046,0.0869543956676912
"1988_freq3",0.0238101963028521,0.0489831158020063,0.0754327147725573
"1988_freq4",0.0225002180369569,0.0445961994650429,0.0665571024150991
"1988_freq5",0.53558036734294,0.672647291324392,0.840279508866058
"2023_freq0",0.15899262019819,0.18400248976018,0.211309749622048
"2023_freq1",0.0791828583284383,0.108176099003561,0.132888768608115
"2023_freq2",0.0674401739602737,0.0844558460670886,0.109092821239038
"2023_freq3",0.0583737933252781,0.0710796241512581,0.0921950144775625
"2023_freq4",0.0512591287066359,0.0613847778348615,0.0779587430867273
"2023_freq5",0.422459322701616,0.489884450860218,0.54131940886623
"K_freq_0",0.0669617843473118,0.087806802755788,0.110302340078631
"K_freq_sub",0.115606128927323,0.176900565692648,0.293207259087972
"K_freq_5+",0.600781063987473,0.73491608647575,0.812407010851236
"f_freq",0.46974495226854,0.501332094114583,0.535688638427946
"phi_1",0.418600440726805,0.626751512336335,0.865403715408591
"phi_2",0.764908625060421,0.856055723222229,0.944948790887728
"phi_3",0.851084606934529,0.894791621671887,0.952470971020792
"phi_4",0.893416506323069,0.919000704328634,0.957919188498621
"phi_5",0.904735533922184,0.939463410119626,0.962711168008686
"phi_6",0.909044480249143,0.952180664597201,0.96918720123199
"phi_7",0.398861286368498,0.622922308212463,0.865737647518043
"phi_8",0.756762130667562,0.855777825353525,0.945514690225351
"phi_9",0.841522161257556,0.895264869031606,0.953080222179958
"phi_10",0.885358294320657,0.919777975380391,0.958759015381264
"phi_11",0.898682337253301,0.939347355886395,0.963944524967273
"phi_12",0.905395079203548,0.95208942196779,0.970996851077229
"phi_scale",0.433226740687004,0.657235353920687,0.949016773991976
"nu0",-0.182736854025953,0.0155296427574692,0.205552490483412
"nu1",-0.192256194951493,0.000379073465511938,0.187785025413058
"c",0.0358625568138051,0.49498280511278,0.969701765175251
"b_1988",0.13187128222171,0.32367960511018,0.52753316904684
"b0_2023",0.71963286444096,0.783825772324507,0.84480253523687
"b_2023",0.685970736913722,0.752730176805811,0.814133424407902
"b_min",0.015536066471131,0.261269900005808,0.518043517823899
"b_max",0.721358661384561,0.788486040400342,0.882882433300871
"b_scale",0.0199537459017376,0.328936373708423,0.654796662847584
"b_eq",0.171382172953816,0.238641928916081,0.34257622370597
"beta_0",-0.612453835637263,1.62354761994556,4.79047044862701
"beta_1",0.958734871010924,2.5450678179642,7.05496994480929
"p_1988",0.15755191620136,0.345679745400732,0.546538942162963
"p_2022",0.723242463528007,0.784407107238185,0.83882545814463
"p_max",0.740884384605816,0.814886870727642,0.899899251699608
"p_min",0.0160068419857006,0.268171481750415,0.53219250205989
"abortion_rate_2022",0.00375339204445724,0.040765318329314,0.0786448595463969
"K",131941.561675483,219622.798378128,341115.509790272
"theta_0",0.00838642885318804,0.121874729073853,0.263403700396762
"theta_0_raw",0.0223251779429859,0.41737793319307,0.958854280781632
"w",0.475755481815946,0.596943808052606,0.743342194629038
"w_pup",0.0689084807916978,0.311440199863476,0.592176784027387
"delta",0.122442010131448,0.5219737154739,0.946069585018831
"w_baseline",0.384511754924562,0.501767744130448,0.64459174630607
"wt_max",0.6704805742192,0.873703303768333,0.973704574091307
"w_ice_max",0.686873989745041,0.899893926744375,0.994433573349071
"w_ice_min",0.28916843605211,0.424631396207184,0.604985044587167
"d",0.000783031774207355,0.0256955597631322,0.196225930941012
"f",1.02142550050971,11.9942077141009,22.9919429942916
"alpha_0",6.4660221267941,17.7955494763697,215.622788604234
"alpha_1",4.54345494662065,11.0995081333194,132.336035864688
"E_fi",0.0505370742644074,0.293205715893683,0.862716990702619
"E_sw_spring",0.000603442302158936,0.00165949514510749,0.00516986007623376
"E_sw_fall",0.000459455245186682,0.00331253153864911,0.0252481603703072
"sigma_fi",0.342016627406386,1.93356019216785,7.66957922618638
"sigma_sw_spring",0.545757804922747,0.979462406666976,2.18941531820299
"sigma_sw_fall",0.808217431407768,2.64983793272922,10.6932628948877
"pi_s",0.850571543129032,0.921629781003502,0.987846511814162
"pi_c",0.909305216136815,0.967700466956992,0.994906588877769
"kappa",0.00306337729452902,0.0712157613456046,0.237908999293241
"r",17.7495415613651,32.9686672231977,57.8553654960114
"rel_bc_0_1",3.93261779124754,7.74963024561977,16.6772082273456
"rel_bc0_m_f",1.01463418646024,1.36947342992141,1.86987413034428
"max_Rhat",2422662847.16108,2422662847.16108,2422662847.16108
"min_ESS",2.00050012503126,2.00050012503126,2.00050012503126
