"","data","looic","waic"
"1","Aerial survey",541.087978078283,540.165435947347
"2","Reproduction",201.275231005416,200.649650293068
"3","Hunting bag (SW)",58.5593347101724,56.1114619563303
"4","Hunting bag (FI)",64.157514139849,59.4224544735893
"5","Hunting samples (SW)",379.828255666576,375.871175120088
"6","Hunting samples (FI)",365.073268000213,362.209669632659
"7","Bycatch samples",277.922684250659,277.758318900972
