"","2.5","50","97.5"
"N_1988",3140.89418500652,4325.70013762668,5694.15363776156
"N_2023",18597.5459942848,24345.7257803944,31492.3734613735
"growth_rate_1989",-1.71194466846142,1.70863189958954,4.62817223776758
"growth_rate_2021",2.25782464152058,3.75841320045409,5.40133373833019
"growth_rate_2023",3.80993612544138,5.12850114577905,6.70792939203774
"growth_rate_max",5.5735524846872,6.83511938909753,8.17531086103104
"growth_rate_asymptotic",5.9632149102488,7.08737209123405,8.91964729354571
"R0_asymptotic",2.29296057776057,3.33600067978361,4.65308297315922
"1988_freq0",0.0515159358157664,0.106720996060352,0.151825153493184
"1988_freq1",0.0302199936249919,0.0648151238922529,0.101786147920145
"1988_freq2",0.0266682991696162,0.0544171617149332,0.0865292608646997
"1988_freq3",0.0244623867007247,0.0482161692384246,0.0752266650686132
"1988_freq4",0.0229188514440296,0.0439715700791759,0.06630044830712
"1988_freq5",0.541623013499213,0.678781457557167,0.838431799518315
"2023_freq0",0.157058768061918,0.181876619732807,0.209452487743223
"2023_freq1",0.0790093406846554,0.106864483509768,0.131190515723202
"2023_freq2",0.0679830774657038,0.0835855307740509,0.10838331809741
"2023_freq3",0.0580206205221119,0.0697473585274569,0.0908942748091119
"2023_freq4",0.0515364991442866,0.0610158165951442,0.0778996070547678
"2023_freq5",0.427741602784396,0.495698188536916,0.544547535102193
"K_freq_0",0.0645207906886792,0.085497939716621,0.108028500752101
"K_freq_sub",0.115222851275076,0.172531697893311,0.291089917966527
"K_freq_5+",0.605840834339723,0.742260758152443,0.815491532325829
"f_freq",0.469609335015077,0.500541999442341,0.534783109061985
"phi_1",0.427129552424486,0.628141866687469,0.86793037117422
"phi_2",0.764357172618307,0.859442889260795,0.946711795214983
"phi_3",0.851706789189271,0.89666479649575,0.952746072391765
"phi_4",0.894797242457681,0.920523958405927,0.957754250817296
"phi_5",0.905101642584114,0.94090434888279,0.96295458331617
"phi_6",0.909368335979227,0.953666573967998,0.969303712424263
"phi_7",0.407187597213571,0.626016538083834,0.869305410693907
"phi_8",0.756141314706308,0.859314536283389,0.947452151513992
"phi_9",0.84395376281999,0.89738350026413,0.95430801716584
"phi_10",0.886903329820696,0.921617367687035,0.959555359604282
"phi_11",0.900786254900403,0.940765257681436,0.964579188795757
"phi_12",0.907047370399412,0.953680536136595,0.971300101844848
"phi_scale",0.442190701423609,0.658022763151816,0.951889624585938
"nu0",-0.175992639381471,0.0149599523396734,0.206254402459786
"nu1",-0.190509291878095,-0.00230199640066153,0.186511636050237
"c",0.032613173803983,0.494758502583751,0.969338363944551
"b_1988",0.125533890640897,0.315963976837542,0.523277683761636
"b0_2023",0.693468561744265,0.763045922777246,0.826071621902549
"b_2023",0.662401838301758,0.739440946633286,0.809658760942055
"b_min",0.0187470560425273,0.249639945032611,0.506797256481563
"b_max",0.695254862654208,0.767003830658884,0.873828008432506
"b_scale",0.0241427338904839,0.325783031023365,0.6627991590405
"b_eq",0.165480118336797,0.230534077154863,0.336461620461037
"beta_0",-0.566617939680864,1.72564463691109,4.98637582231148
"beta_1",0.862691904170008,2.61593523071391,7.32333446158472
"p_1988",0.155695937539891,0.354766863757071,0.571572896572906
"p_2022",0.741099095441055,0.818684213639585,0.888526972025564
"p_max",0.746519067736567,0.831092110057907,0.934200260944104
"p_min",0.0201996693461543,0.27045288817122,0.548028357213835
"abortion_rate_2022",0.00844594632024717,0.09187606166425,0.204808214604329
"K",132971.627092056,219354.321310384,336149.465989534
"theta_0",0.00620812116636471,0.0960093598827868,0.252228922845158
"theta_0_raw",0.119987189737758,0.584603089579338,0.968231099302437
"w",0.5617540441389,0.668851250341608,0.811467783000283
"w_pup",0.140377548064323,0.40200034280565,0.674601445323453
"delta",0.215818733168893,0.604442324204669,0.949815036450359
"w_baseline",0.455434261553779,0.56446731009057,0.716311277641948
"wt_max",0.743219056252842,0.912464717068156,0.977347412407619
"w_ice_max",0.759196226220103,0.933821653535258,0.996335667689364
"w_ice_min",0.328208695117514,0.474759383526032,0.687188464978204
"d",0.00078054085008258,0.0204241690842411,0.186579321552183
"f",1.05580480008807,13.8362117078829,27.1518022435545
"alpha_0",5.96246956591258,18.1304906013981,266.280363367234
"alpha_1",4.28526601046199,11.5098584674746,172.302979585194
"E_fi",0.260473148213545,0.437542991314525,0.80715290037242
"E_sw_spring",0.00072273578397635,0.00167152073087672,0.00408596273426407
"E_sw_fall",0.000422826478527297,0.00119496002750893,0.00463666974669088
"sigma_fi",0.178860021281805,0.473012839423461,1.29452521363437
"sigma_sw_spring",0.644320339800541,1.01660338097727,1.91864215122881
"sigma_sw_fall",0.659312867501266,1.23133339019179,3.10907889190174
"pi_s",0.850887926230588,0.927866094773084,0.994048976530701
"pi_c",0.914016893494566,0.969806719501385,0.995012800447363
"kappa",0.00380896171479983,0.08680440403549,0.262075326755618
"r",15.7613712647485,31.1189520847974,54.0383973283985
"rel_bc_0_1",4.00565061693427,7.89464661850336,16.4921932697962
"rel_bc0_m_f",1.00525371449472,1.3679961002366,1.87884823385519
"max_Rhat",1.24370742186579,1.24370742186579,1.24370742186579
"min_ESS",16.1880722201606,16.1880722201606,16.1880722201606
