accnr,year,month,date,source,sex,age,body_length,gravid,CA,placental_scar
A2015/05289,2013,6,2013-06-10,bycaught,m,0,77,NA,NA,NA
A2015/05291,2014,10,2014-10-03,bycaught,m,0,95,NA,NA,NA
A2015/05292,2014,6,2014-06-20,bycaught,m,0,87,NA,NA,NA
A2015/05316,2014,7,2014-07-19,bycaught,m,0,92.5,NA,NA,NA
A2015/05317,2014,5,2014-05-26,bycaught,m,0,76,NA,NA,NA
A2015/05318,2014,8,2014-08-16,bycaught,f,0,91,FALSE,FALSE,FALSE
A2015/05379,2014,9,2014-09-25,bycaught,f,0,96,FALSE,FALSE,FALSE
A2015/05477,2014,11,2014-11-06,bycaught,f,0,108,FALSE,FALSE,FALSE
A2015/05527,2015,7,2015-07-13,bycaught,m,0,91.5,NA,NA,NA
A2015/05591,2015,6,2015-05-06,hunted,m,33,142,NA,NA,NA
A2015/05605,2016,NA,NA,hunted,NA,0,NA,NA,NA,NA
A2015/05606,2013?,NA,NA,hunted,NA,0,NA,NA,NA,NA
A2015/05607,NA,NA,NA,hunted,NA,1,NA,NA,NA,NA
A2015/05608,NA,NA,NA,hunted,NA,0,NA,NA,NA,NA
A2015/05609,2015,6,2015-05-06,hunted,m,0,74,NA,NA,NA
A2015/05610,2015,6,2015-05-06,hunted,f,0,70,FALSE,FALSE,FALSE
A2015/05626,2015,5,2015-05-01,bycaught,m,0,91,NA,NA,NA
A2015/05631,2015,9,2015-09-29,bycaught,m,0,107,NA,NA,NA
A2015/05733,2015,5,2015-05-30,hunted,m,29,133.5,NA,NA,NA
A2016/05078,NA,2,NA,hunted,m,0,91,NA,NA,NA
A2016/05110,2015,7,2015-07-19,bycaught,m,0,100.5,NA,NA,NA
A2016/05133,2015,10,2015-10-09,bycaught,f,0,108,FALSE,FALSE,FALSE
A2016/05171,2015,10,2015-10-31,bycaught,f,0,96.5,FALSE,NA,FALSE
A2018/05298,2018,3,2018-03-15,NA,m,23,140,NA,NA,NA
A2016/05560,2016,9,2016-09-08,hunted,m,26,NA,NA,NA,NA
A2017/05118,2015,NA,NA,bycaught,m,0,93,NA,NA,NA
A2017/05119,2016,7,2016-07-09,bycaught,m,0,99.5,NA,NA,NA
A2017/05370,2015,5,2015-05-27,bycaught,f,0,64,FALSE,FALSE,FALSE
A2017/05585,2015,8,2015-08-16,hunted,m,0,82,NA,NA,NA
A2017/05586,2015,9,2015-09-04,bycaught,m,0,98,NA,NA,NA
A2017/05713,2016,5,2016-05-16,hunted,m,NA,137,NA,NA,NA
A2017/05753,2017,10,2017-10-14,bycaught,m,0,102,NA,NA,NA
A2018/05085,2015,6,2015-06-21,bycaught,m,0,80,NA,NA,NA
A2018/05086,2017,10,2017-10-21,bycaught,f,0,101,FALSE,FALSE,FALSE
A2018/05091,NA,NA,NA,hunted,f,2,115,FALSE,FALSE,FALSE
A2018/05096,2014-2017,9?,NA,hunted,f,6,126,TRUE,NA,NA
A2018/05099,2014-2017,Ej angivet,NA,hunted,m,15,139,NA,NA,NA
A2018/05105,2016,8,2016-08-21,bycaught,f,0,88,NA,FALSE,FALSE
A2018/05121,2015,11,NA,hunted,m,NA,41,NA,NA,NA
A2018/05144,2017,6,2017-06-03,bycaught,m,0,85,NA,NA,NA
A2018/05151,2017,12,2017-12-18,hunted,m,0,101,NA,NA,NA
A2018/05152,2014-2017,Ej angivet,NA,hunted,m,23,129,NA,NA,NA
A2018/05153,2017,10,2017-10-01,hunted,m,26,138,NA,NA,NA
A2018/05155,2015,NA,NA,hunted,m,32,148,NA,NA,NA
A2018/05191,NA,NA,NA,hunted,f,18,130,TRUE,TRUE,NA
A2018/05272,2014-2017,Ej angivet,NA,hunted,m,16,136,NA,NA,NA
A2018/05282,2017,10,2017-10-29,hunted,f,NA,36,NA,NA,NA
A2018/05319,2018,6,2018-06-14,hunted,f,32,NA,NA,NA,TRUE
A2018/05487,2016,10,2016-10-10,bycaught,m,0,95,NA,NA,NA
A2018/05550,2016,8,2016-08-28,bycaught,f,0,95,NA,FALSE,FALSE
A2018/05579,2017,11,2017-11-05,hunted,f,0,92,FALSE,FALSE,FALSE
A2018/05580,2016,8,2016-08-29,hunted,f,NA,128.5,FALSE,NA,NA
A2018/05582,2016,8,2016-08-01,bycaught,f,0,80,FALSE,FALSE,FALSE
A2018/05583,2016,8,2016-08-01,hunted,f,0,87,FALSE,FALSE,FALSE
A2018/05584,2015,5,2015-05-18,hunted,f,0,68,NA,FALSE,FALSE
A2018/05678,2018,5,2018-05-22,hunted,f,0,100,NA,FALSE,FALSE
A2018/05680,2018,5,2018-05-23,hunted,f,0,100,NA,FALSE,FALSE
A2018/05684,2018,5,2018-05-23,hunted,f,26,133,NA,TRUE,NA
A2018/05695,2018,NA,NA,bycaught,m,0,74.1,NA,NA,NA
A2019/05386,2019,6,2019-06-04,hunted,m,NA,145.5,NA,NA,NA
A2019/05390,2019,6,2019-06-07,hunted,f,0,101.5,FALSE,FALSE,FALSE
A2019/05652,2018,10,2018-10-20,hunted,f,NA,34,NA,NA,NA
A2020/05479,2019,5,2019-05-26,hunted,m,26,135,NA,NA,NA
A2020/05506,2019,5,2019-05-28,hunted,m,26,150,NA,NA,NA
A2020/05554,2019,5,2019-05-17,hunted,m,0,115,NA,NA,NA
A2020/05833,2019,8,2019-08-29,hunted,m,20,127.5,NA,NA,NA
A2020/05879,2015,5,2015-05-07,bycaught,f,0,78,NA,FALSE,FALSE
A2021/05026,2019,6,2019-06-02,hunted,f,NA,125,NA,TRUE,FALSE
A2021/05027,2019,6,2019-06-02,hunted,f,NA,105,NA,NA,NA
A2021/05028,2019,6,2019-05-16,hunted,m,27,145,NA,NA,NA
A2021/05219,2020,9,2020-09-01,hunted,f,NA,140,TRUE,FALSE,FALSE
A2021/05226,2020,9,2020-09-01,hunted,f,16,136,FALSE,FALSE,FALSE
A2021/05227,2020,10,2020-10-02,hunted,m,NA,136,NA,NA,NA
A2021/05232,2020,12,2020-12-12,stranded,f,20,133.5,FALSE,TRUE,NA
A2021/05239,2020,9,2020-09-02,hunted,m,NA,146,NA,NA,NA
A2021/05246,2020,10,2020-10-16,hunted,m,11,144,NA,NA,NA
A2021/05247,2020,10,2020-10-12,hunted,f,NA,132,FALSE,FALSE,FALSE
A2021/05249,2020,10,2020-10-16,hunted,m,NA,150,NA,NA,NA
A2021/05252,2020,9,2020-09-02,hunted,f,NA,136,TRUE,FALSE,FALSE
A2021/05274,2020,10,2020-10-16,hunted,f,NA,135,TRUE,TRUE,NA
A2021/05276,2019,9,2019-09-05,hunted,m,27,138.5,NA,NA,NA
A2021/05280,2020,5,2020-05-15,hunted,f,0,110,NA,FALSE,FALSE
A2021/05281,2020,5,2020-05-15,hunted,f,0,113,NA,FALSE,FALSE
A2021/05287,2020,5,2020-05-17,hunted,f,0,100,NA,FALSE,FALSE
A2021/05290,2020,?,NA,bycaught,m,0,NA,NA,NA,NA
A2021/05291,2020,5,2020-05-31,hunted,f,5,115,NA,FALSE,FALSE
A2021/05295,2020,5,2020-05-17,hunted,f,0,105,NA,FALSE,FALSE
A2021/05299,2020,?,NA,bycaught,f,0,80,NA,FALSE,FALSE
A2021/05300,2020,?,NA,bycaught,m,0,85,NA,NA,NA
A2021/05480,2019,9,2019-09-04,hunted,m,0,92,NA,NA,NA
A2021/05495,2019,9,2019-09-04,hunted,f,0,91,FALSE,FALSE,FALSE
A2021/05519,2019,10,2019-10-06,hunted,f,0,90,NA,FALSE,FALSE
A2021/05521,2019,10,2019-10-10,hunted,f,NA,127.5,TRUE,FALSE,TRUE
A2021/05568,2019,6,2019-06-07,hunted,m,NA,129,NA,NA,NA
A2002/05130,2002,9,2002-09-24,bycaught,m,1,107.7,NA,NA,NA
A2007/05298,2007,7,2007-07-05,bycaught,f,2,108.5,FALSE,NA,NA
A2007/05320,2007,10,2007-10-02,bycaught,m,1,105.5,NA,NA,NA
A2007/05395,2007,11,2007-11-05,bycaught,f,1,113,FALSE,FALSE,FALSE
A2013/05342,2013,8,2013-08-02,NA,m,14,127.5,NA,NA,NA
A2014/05144,2013,11,2013-11-19,bycaught,m,3,123.5,NA,NA,NA
A2015/05360,2015,5,2015-05-21,bycaught,f,1,104,FALSE,NA,NA
A2015/05491,2015,4,2015-04-17,hunted,m,5,120,NA,NA,NA
A2015/05492,2015,4,2015-04-15,hunted,f,3,105,NA,NA,NA
C2006/05077,2004,NA,NA,bycaught,f,NA,62,NA,NA,NA
C2007/08043,2007,11,2007-11-01,hunted,f,0,94.5,FALSE,FALSE,FALSE
C2008/00532,2008,6,2008-06-16,bycaught,f,0,87,FALSE,FALSE,FALSE
C2008/00537,2008,7,2008-07-08,bycaught,m,0,84.5,NA,NA,NA
C2008/03750,2008,10,2008-10-01,bycaught,f,27,150,TRUE,TRUE,TRUE
C2008/05223,2008,6,2008-06-21,bycaught,f,0,74.5,NA,FALSE,FALSE
C2008/08618,2008,11,2008-11-12,hunted,f,0,120,FALSE,FALSE,FALSE
C2008/08900,2008,6,2008-06-16,hunted,f,0,94.5,FALSE,FALSE,FALSE
C2008/09137,2008,NA,NA,bycaught,f,26,NA,FALSE,FALSE,NA
A2015/05652,2015,10,2015-10-03,hunted,m,1,120,NA,NA,NA
C2004/05347,2004,6,2004-06-16,hunted,m,5,112,NA,NA,NA
A2014/05132,2013,11,2013-11-07,hunted,f,11,118,FALSE,FALSE,NA
A2014/05159,2013,11,2013-11-07,hunted,f,12,124,TRUE,NA,NA
C2009/08592,2009,10,2009-10-28,bycaught,f,0,85,NA,NA,NA
A2021/05546,2020,5,2020-05-25,hunted,f,NA,120,FALSE,TRUE,TRUE
A2021/05941,2019,8,2019-08-28,hunted,m,13,132,NA,NA,NA
A2021/05942,2019,8,2019-08-28,hunted,f,NA,133.5,TRUE,TRUE,TRUE
A2021/05943,2019,8,2019-08-28,hunted,f,7,127,TRUE,TRUE,FALSE
A2021/05944,2019,9,2019-09-29,hunted,m,5,127,NA,NA,NA
A2021/05946,2019,9,2019-09-27,hunted,f,1,92,FALSE,FALSE,FALSE
A2021/05947,2019,9,2019-09-03,hunted,f,9,128,TRUE,FALSE,FALSE
A2021/05948,2019,8,2019-08-31,hunted,f,9,123,TRUE,TRUE,TRUE
A2021/05949,2019,9,2019-09-07,hunted,f,6,133,TRUE,FALSE,FALSE
A2021/05950,2019,9,2019-09-18,hunted,m,20,125,NA,NA,NA
A2021/05951,2019,9,2019-09-15,hunted,m,12,136,NA,NA,NA
A2021/05952,2019,9,2019-09-14,hunted,m,21,133,NA,NA,NA
A2021/05953,2019,10,2019-10-10,hunted,m,0,83,NA,NA,NA
A2021/05954,2019,9,2019-09-18,hunted,m,13,122,NA,NA,NA
A2021/08066,2021,6,2021-06-13,bycaught,m,0,78,NA,NA,NA
A2021/08067,2021,10,2021-10-13,hunted,m,NA,138,NA,NA,NA
A2021/08150,2021,9,2021-09-04,hunted,m,NA,115,NA,NA,NA
A2021/08151,2021,9,2021-09-04,hunted,f,NA,107,FALSE,NA,NA
A2021/08152,2021,9,2021-09-04,hunted,m,NA,125,NA,NA,NA
A2021/08177,2021,9,2021-09-18,hunted,f,NA,127,TRUE,FALSE,FALSE
A2021/08178,2021,9,2021-09-01,hunted,f,11,140,TRUE,FALSE,FALSE
A2021/08179,2021,9,2021-09-01,hunted,m,22,147,NA,NA,NA
A2021/08194,2021,9,2021-09-05,hunted,f,6,137,TRUE,FALSE,FALSE
A2021/08218,2019,10,2019-10-10,hunted,m,13,133.5,NA,NA,NA
A2021/08219,2019,9,2019-09-18,hunted,m,9,122.5,NA,NA,NA
A2021/08220,2021,10,2021-10-09,hunted,m,NA,139,NA,NA,NA
A2021/08221,2021,9,2021-09-16,hunted,m,NA,143,NA,NA,NA
A2021/08222,2021,9,2021-09-18,hunted,m,NA,139,NA,NA,NA
A2021/08223,2021,9,2021-09-16,hunted,m,NA,139,NA,NA,NA
A2021/08224,2021,9,2021-09-18,hunted,m,NA,157,NA,NA,NA
A2021/08225,2021,10,2021-10-10,hunted,f,NA,134,TRUE,FALSE,FALSE
A2021/08226,2021,9,2021-09-16,hunted,m,NA,131,NA,NA,NA
A2021/08227,2021,10,2021-10-13,hunted,m,NA,150,NA,NA,NA
A2021/08228,2021,10,2021-10-13,hunted,f,NA,145,TRUE,FALSE,FALSE
A2021/08229,2021,10,2021-10-13,hunted,m,NA,150,NA,NA,NA
A2021/08230,2021,9,2021-09-01,hunted,f,NA,140,TRUE,FALSE,FALSE
A2021/08231,2019,9,2019-09-23,hunted,f,0,91,FALSE,FALSE,FALSE
A2021/08232,2021,9,2021-09-01,hunted,f,NA,135,TRUE,FALSE,FALSE
A2021/08233,2021,10,2021-10-13,hunted,f,NA,138,TRUE,FALSE,FALSE
A2021/08234,2021,9,2021-09-05,hunted,f,NA,133,TRUE,FALSE,FALSE
A2021/08249,2021,9,2021-09-01,hunted,m,NA,145,NA,NA,NA
A2021/08250,2021,9,2021-09-11,hunted,f,NA,140,TRUE,FALSE,FALSE
A2021/08251,2021,10,2021-10-13,hunted,m,NA,140,NA,NA,NA
A2022/00003,2021,9,2021-09-01,hunted,m,25,145,NA,NA,NA
A2022/00004,2021,5,2021-05-10,hunted,f,8,115,FALSE,TRUE,FALSE
A2022/00005,2021,10,2021-10-10,hunted,m,NA,148,NA,NA,NA
A2022/00006,2021,10,2021-10-13,hunted,f,4,125,TRUE,FALSE,FALSE
A2022/00007,2021,9,2021-09-09,hunted,f,25,146,TRUE,FALSE,FALSE
A2022/00008,2021,10,2021-10-09,hunted,m,10,137,NA,NA,NA
A2022/00009,2021,9,2021-09-01,hunted,m,14,152,NA,NA,NA
A2022/00010,2021,10,2021-10-09,hunted,f,9,127,TRUE,FALSE,FALSE
A2022/00011,2019,9,2019-09-07,hunted,m,3,130,NA,NA,NA
A2022/00014,2019,9,2019-09-07,hunted,m,16,136,NA,NA,NA
A2022/00015,2019,9,2019-09-07,hunted,m,16,113.5,NA,NA,NA
A2022/00016,2021,10,2021-10-19,hunted,f,13,141,TRUE,FALSE,FALSE
A2022/00023,2019,5,2019-05-17,hunted,f,1,100,FALSE,FALSE,FALSE
A2022/00024,2019,5,2019-05-17,hunted,f,2,102,FALSE,FALSE,FALSE
A2022/00025,2019,5,2019-05-18,hunted,m,2,106,NA,NA,NA
A2022/00026,2021,5,2021-05-16,hunted,f,10,107,FALSE,TRUE,TRUE
A2022/00027,2021,5,2021-05-16,hunted,f,2,100,FALSE,FALSE,FALSE
A2022/00028,2021,5,2021-05-16,hunted,f,8,119,FALSE,TRUE,TRUE
A2022/00029,2021,5,2021-05-16,hunted,f,6,120,FALSE,TRUE,FALSE
A2022/00030,2021,5,2021-05-10,hunted,f,1,106,FALSE,FALSE,FALSE
A2022/00031,2021,5,2021-05-16,hunted,f,10,128,FALSE,TRUE,TRUE
A2022/00032,2021,5,2021-05-13,hunted,f,9,120,FALSE,TRUE,TRUE
A2022/00033,2021,5,2021-05-15,hunted,f,13,115,FALSE,TRUE,FALSE
A2022/00034,2021,5,2021-05-16,hunted,f,7,125,FALSE,TRUE,TRUE
A2022/00035,2021,5,2021-05-16,hunted,f,6,120,FALSE,TRUE,TRUE
A2022/00036,2021,5,2021-05-10,hunted,f,0,106,FALSE,FALSE,FALSE
A2022/00037,2021,5,2021-05-16,hunted,f,16,120,FALSE,FALSE,FALSE
A2022/00038,2019,10,2019-10-10,hunted,m,28,135,NA,NA,NA
B2022/00001,2019,10,2019-10-10,hunted,m,1,122,NA,NA,NA
B2022/00083,2021,5,2021-05-07,hunted,f,11,135,FALSE,TRUE,TRUE
B2022/00084,2021,5,2021-05-07,hunted,f,9,135,FALSE,TRUE,TRUE
B2022/00085,2021,5,2021-05-05,hunted,f,7,130,FALSE,NA,NA
B2022/00086,2021,5,2021-05-06,hunted,f,1,115,FALSE,FALSE,FALSE
B2022/00087,2021,5,2021-05-16,hunted,f,5,122,FALSE,NA,TRUE
B2022/00088,2021,5,2021-05-16,hunted,f,8,119,FALSE,TRUE,FALSE
B2022/00089,2019,10,2019-10-10,hunted,f,NA,134,TRUE,TRUE,FALSE
B2022/00133,2021,10,2021-10-19,hunted,f,7,134,TRUE,FALSE,FALSE
B2022/00341,2021,10,2021-10-19,hunted,f,NA,31,NA,NA,NA
B2022/00342,2021,10,2021-10-19,hunted,f,NA,142,TRUE,FALSE,FALSE
B2022/00343,2021,10,2021-10-13,hunted,m,NA,130,NA,NA,NA
B2022/00344,2021,10,2021-10-13,hunted,m,NA,134,NA,NA,NA
B2022/00345,2021,10,2021-10-13,hunted,f,NA,130,TRUE,FALSE,FALSE
B2022/00346,2021,10,2021-10-13,hunted,f,0,95,FALSE,NA,NA
B2022/00347,2021,9,2021-09-05,hunted,f,NA,130,FALSE,FALSE,FALSE
B2022/00348,2021,5,2021-05-10,hunted,f,NA,122,NA,FALSE,FALSE
B2022/00349,2021,5,2021-05-16,hunted,f,15,136,NA,TRUE,TRUE
B2022/00350,2021,5,2021-05-16,hunted,f,NA,121,NA,TRUE,TRUE
B2022/00351,2021,5,2021-05-16,hunted,f,NA,119,NA,TRUE,TRUE
B2022/00352,2021,5,2021-05-16,hunted,f,NA,124,NA,TRUE,TRUE
B2022/00353,2021,5,2021-05-10,hunted,f,0,100,FALSE,FALSE,FALSE
B2022/00354,2021,5,2021-05-16,hunted,f,NA,114,NA,FALSE,FALSE
B2022/00355,2021,5,2021-05-16,hunted,f,NA,122,NA,TRUE,TRUE
B2022/00360,2021,10,2021-10-19,hunted,m,NA,31,NA,NA,NA
B2022/00474,2021,9,2021-09-05,hunted,m,NA,128,NA,NA,NA
B2022/00599,2021,5,2021-05-16,hunted,f,NA,133,NA,NA,NA
B2022/00600,2021,5,2021-05-16,hunted,f,NA,108,FALSE,FALSE,FALSE
B2022/00601,2021,5,2021-05-16,hunted,f,0,104,FALSE,FALSE,FALSE
B2022/00602,2021,5,2021-05-16,hunted,f,NA,129,FALSE,TRUE,TRUE
B2022/00619,2019,5,2019-05-17,hunted,f,4,125,FALSE,FALSE,FALSE
B2022/00620,2019,5,2019-05-17,hunted,f,9,135,FALSE,FALSE,FALSE
B2022/00621,2019,5,2019-05-23,hunted,m,0,125,NA,NA,NA
B2022/00622,2019,5,2019-05-23,hunted,f,NA,120,FALSE,FALSE,FALSE
B2022/00623,2019,5,2019-05-26,hunted,m,NA,110,NA,NA,NA
B2022/00624,2019,5,2019-05-16,hunted,f,NA,125,FALSE,FALSE,FALSE
B2022/00625,2020,5,2020-05-07,hunted,f,NA,103,FALSE,FALSE,FALSE
B2022/00626,2020,5,2020-05-01,hunted,f,0,100,FALSE,FALSE,FALSE
B2022/00627,2020,5,2020-05-01,hunted,f,0,110,FALSE,FALSE,FALSE
B2022/00628,2020,5,2020-05-09,hunted,f,0,100,FALSE,FALSE,FALSE
B2022/00629,2020,5,2020-05-08,hunted,f,31,125,FALSE,TRUE,FALSE
B2022/00630,2020,5,2020-05-08,hunted,f,0,103,FALSE,FALSE,FALSE
B2022/00631,2022,5,2022-05-29,hunted,f,2,101,FALSE,FALSE,FALSE
B2022/00632,2020,5,2020-05-08,hunted,m,5,125,NA,NA,NA
B2022/00763,2022,5,2022-05-29,hunted,f,NA,134,FALSE,TRUE,FALSE
B2022/00764,2021,5,2021-05-14,hunted,f,NA,119,FALSE,FALSE,FALSE
B2022/00911,2019,5,2019-05-15,hunted,m,NA,135,NA,NA,NA
B2022/00912,2019,5,2019-05-17,hunted,m,0,105,NA,NA,NA
B2022/00913,2019,5,2019-05-15,hunted,f,NA,135,FALSE,FALSE,NA
B2022/00914,2019,5,2019-05-18,hunted,m,0,106,NA,NA,NA
B2022/00915,2019,5,2019-05-05,hunted,f,NA,127,NA,TRUE,TRUE
B2022/02881,2022,6,2022-06-13,hunted,f,NA,154,FALSE,TRUE,TRUE
B2022/02882,2022,6,2022-06-13,hunted,f,NA,110,FALSE,TRUE,TRUE
B2022/02883,2022,5,2022-05-04,hunted,f,NA,123,FALSE,FALSE,FALSE
B2022/02884,2022,5,2022-05-30,hunted,f,NA,135,FALSE,FALSE,FALSE
B2022/02885,2022,5,2022-05-04,hunted,f,NA,130,FALSE,TRUE,TRUE
B2022/02886,2022,5,2022-05-04,hunted,f,NA,138,FALSE,TRUE,TRUE
B2022/02887,2022,5,2022-05-04,hunted,f,NA,130,FALSE,FALSE,FALSE
B2022/02888,2022,5,2022-05-01,hunted,f,NA,135,FALSE,TRUE,TRUE
B2022/02889,2022,5,2022-05-26,hunted,f,NA,NA,FALSE,TRUE,FALSE
B2022/02890,2022,5,2022-05-01,hunted,f,NA,133,FALSE,TRUE,TRUE
B2022/02981,2022,5,2022-05-01,hunted,f,NA,101,FALSE,FALSE,NA
B2022/02982,2022,5,2022-05-01,hunted,f,NA,103,NA,NA,NA
B2022/02983,2022,5,2022-05-01,hunted,f,NA,122,FALSE,TRUE,TRUE
B2022/02984,2022,5,2022-05-01,hunted,f,NA,140,FALSE,TRUE,TRUE
B2022/02985,2022,5,2022-05-01,hunted,f,NA,113,FALSE,FALSE,NA
B2022/03286,2022,5,2022-05-01,hunted,f,NA,109,FALSE,FALSE,NA
B2022/03486,2022,9,2022-09-04,hunted,f,0,90,NA,NA,NA
B2022/03487,2022,9,2022-09-01,hunted,m,0,85,NA,NA,NA
B2022/06878,2022,9,2022-09-01,hunted,m,0,90,NA,NA,NA
B2022/07642,2022,9,2022-09-04,hunted,f,0,95,NA,NA,NA
