ID,Age
A2018/05687,8
A2018/05688,2
A2018/05689,4
A2018/05690,17
A2018/05691,13
A2018/05692,10
A2018/05693,10
A2018/05694,22
A2018/05695,0
A2018/05701,1
A2019/05385,22
A2019/05387,9
A2019/05388,2
A2019/05389,3
A2019/05390,0
A2019/05391,8
A2019/05649,15
A2019/05650,10
A2019/05651,14
A2019/05653,7
A2019/05654,7
A2019/05656,17
A2019/05657,5
A2019/05658,9
A2020/05042,7
A2020/05119,9
A2020/05389,12
A2020/05390,13
A2020/05393,13
A2020/05437,5
A2020/05458,5
A2020/05459,4
A2020/05461,7
A2020/05462,5
A2020/05479,26
A2020/05505,7
A2020/05506,26
A2020/05507,12
A2020/05508,16
A2020/05509,2
A2020/05510,8
A2020/05511,14
A2020/05512,9
A2020/05554,0
A2020/05555,3
A2020/05832,7
A2020/05833,20
A2020/05840,2
A2020/05879,0
A2021/ 05230,
A2021/ 05237,
A2021/ 05259,
A2021/05025,2
A2021/05026,
A2021/05028,27
A2021/05217,9
A2021/05218,23
A2021/05219,
A2021/05220,10
A2021/05221,17
A2021/05222,17
A2021/05223,15
A2021/05224,17
A2021/05225,7
A2021/05226,16
A2021/05227,17
A2021/05228,18
A2021/05229,8
A2021/05230,13
A2021/05231,18
A2021/05232,20
A2021/05236,6
A2021/05237,9
A2021/05238,14
A2021/05239,
A2021/05240,11
A2021/05241,10
A2021/05242,3
A2021/05243,8
A2021/05244,13
A2021/05245,14
A2021/05246,11
A2021/05247,
A2021/05248,13
A2021/05249,20
A2021/05250,10
A2021/05251,7
A2021/05252,
A2021/05253,10
A2021/05254,1
A2021/05255,21
A2021/05257,13
A2021/05258,11
A2021/05259,5
A2021/05260,9
A2021/05270,14
A2021/05271,10
A2021/05272,9
A2021/05273,8
A2021/05274,
A2021/05275,11
A2021/05276,27
A2021/05277,16
A2021/05278,6
A2021/05280,0
A2021/05281,0
A2021/05282,1
A2021/05283,7
A2021/05284,1
A2021/05285,7
A2021/05286,3
A2021/05287,0
A2021/05288,10
A2021/05289,15
A2021/05290,0
A2021/05291,5
A2021/05292,4
A2021/05293,17
A2021/05294,6
A2021/05295,0
A2021/05296,10
A2021/05297,1
A2021/05298,5
A2021/05299,0
A2021/05300,0
A2021/05301,10
A2021/05386,8
A2021/05476,11
A2021/05479,12
A2021/05480,0
A2021/05495,0
A2021/05509,16
A2021/05519,0
A2021/05520,
A2021/05525,10
A2021/05527,2
A2021/05528,5
A2021/05546,9
A2021/05941,13
A2021/05942,15
A2021/05943,7
A2021/05944,5
A2021/05945,5
A2021/05946,1
A2021/05947,9
A2021/05948,9
A2021/05949,6
A2021/05950,20
A2021/05951,12
A2021/05952,21
A2021/05953,0
A2021/05954,13
A2021/08066,0
A2021/08151,1
A2021/08152,5
A2021/08177,7
A2021/08178,11
A2021/08179,22
A2021/08194,6
A2021/08218,13
A2021/08219,9
A2021/08225,9
A2021/08227,10
A2021/08228,
A2021/08229,14
A2021/08230,21
A2021/08231,0
A2022/00003,25
A2022/00004,8
A2022/00005,22
A2022/00006,4
A2022/00007,25
A2022/00008,10
A2022/00009,14
A2022/00010,9
A2022/00011,3
A2022/00014,16
A2022/00015,16
A2022/00016,12
A2022/00023,1
A2022/00024,2
A2022/00025,2
A2022/00026,10
A2022/00027,3
A2022/00028,8
A2022/00029,5
A2022/00030,1
A2022/00031,10
A2022/00032,9
A2022/00033,13
A2022/00034,7
A2022/00035,6
A2022/00036,0
A2022/00037,16
A2022/00038,28
B2022/00001,1
B2022/00083,11
B2022/00084,9
B2022/00085,7
B2022/00086,1
B2022/00087,5
B2022/00088,8
B2022/00089,
B2022/00133,7
B2022/00345,8
B2022/00346,0
B2022/00348,4
B2022/00349,15
B2022/00350,
B2022/00353,0
B2022/00354,2
B2022/00355,
B2022/00599,6
B2022/00600,2
B2022/00601,0
B2022/00602,9
B2022/00619,4
B2022/00620,9
B2022/00621,0
B2022/00622,2
B2022/00624,1
B2022/00625,1
B2022/00626,0
B2022/00627,0
B2022/00628,0
B2022/00629,31
B2022/00630,0
B2022/00631,2
B2022/00632,5
B2022/00763,6
B2022/00764,3
B2022/00911,18
B2022/00912,0
B2022/00913,6
B2022/00914,0
B2022/00915,
B2022/02890,14
B2022/03486,0
B2022/03487,0
B2022/06878,0
B2022/07642,0
B2023/03940,0
B2023/04579,0
A2021/08223,14
A2021/08234,8
A2021/08226,9
A2021/08250,
B2022/00351,7
B2022/00347,9
A2021/08249,
B2022/00343,
A2021/08220,10
B2022/00342,14
A2021/08150,2
A2021/08221,19
A2021/08222,8
A2021/08224,23
A2021/08232,16
A2021/08233,12
A2021/08251,15
B2022/00344,9
B2022/00352,11
B2022/00474,15
B2022/00623,
B2023/08007,0
