date,year,sampled,sex,body_length
10/10/19,2019,1,m,115
10/10/19,2019,1,m,130
9/14/19,2019,1,,
9/14/19,2019,0,,
9/14/19,2019,1,,
10/6/19,2019,1,,
10/10/19,2019,1,,
10/11/19,2019,0,m,130
10/11/19,2019,0,,
10/11/19,2019,0,f,130
10/15/19,2019,0,,100
10/15/19,2019,0,m,140
10/15/19,2019,0,m,
10/15/19,2019,0,m,
10/15/19,2019,0,f,130
10/15/19,2019,0,m,100
10/15/19,2019,0,f,130
10/15/19,2019,0,f,145
10/16/19,2019,0,,
10/15/19,2019,0,,
10/15/19,2019,0,,
10/15/19,2019,0,f,125
10/18/19,2019,0,m,160
10/18/19,2019,0,m,130
10/28/19,2019,0,f,135
10/28/19,2019,0,f,140
10/28/19,2019,0,f,130
10/28/19,2019,0,m,135
10/28/19,2019,0,f,130
10/30/19,2019,0,f,130
11/3/19,2019,0,,
11/3/19,2019,0,,
11/3/19,2019,0,,
5/14/19,2019,0,,
5/19/19,2019,1,m,110
5/22/19,2019,1,m,105
6/12/19,2019,0,m,89
6/12/19,2019,0,m,95
6/12/19,2019,0,,
6/15/19,2019,0,f,120
6/15/19,2019,0,,110
8/22/19,2019,0,m,120
9/27/19,2019,1,,
9/29/19,2019,1,,
9/30/19,2019,0,,
10/10/19,2019,1,,106
5/1/20,2020,1,f,100
5/1/20,2020,0,m,116
5/1/20,2020,1,f,100
5/8/20,2020,0,m,109
5/8/20,2020,0,f,90
5/8/20,2020,1,m,125
5/9/20,2020,1,f,100
5/9/20,2020,1,f,104
5/7/20,2020,1,f,103
5/7/20,2020,0,m,100
5/7/20,2020,0,,
5/7/20,2020,0,m,116
5/8/20,2020,0,m,110
5/8/20,2020,0,,
5/8/20,2020,1,f,103
5/8/20,2020,1,f,125
5/9/20,2020,0,f,85
5/7/20,2020,0,,
5/12/20,2020,0,m,122
5/12/20,2020,1,,104
5/12/20,2020,0,m,102
5/12/20,2020,1,f,115
5/12/20,2020,0,m,95
5/11/20,2020,0,m,129
5/15/19,2019,1,f,105
5/14/20,2020,1,f,110
5/15/20,2020,1,f,110
5/15/20,2020,1,f,115
5/15/20,2020,1,f,110
5/16/20,2020,0,f,95
5/16/20,2020,0,m,86
5/17/20,2020,1,f,105
5/17/20,2020,1,f,100
5/17/20,2020,0,m,130
5/17/20,2020,1,f,107
5/17/20,2020,1,f,122
5/17/20,2020,0,,
5/17/20,2020,0,,
5/17/20,2020,0,,
5/17/20,2020,0,,
5/17/20,2020,0,,
5/17/20,2020,0,,
5/17/20,2020,1,f,140
5/18/20,2020,1,f,120
5/18/20,2020,1,f,140
5/18/20,2020,0,m,130
5/18/20,2020,0,,
5/18/20,2020,0,m,150
5/18/20,2020,0,,
5/18/20,2020,0,,
5/18/20,2020,0,,
5/18/20,2020,0,,
5/18/20,2020,0,,
5/18/20,2020,0,,
5/20/20,2020,1,m,145
5/20/20,2020,0,m,135
5/20/20,2020,1,f,135
5/20/20,2020,0,m,135
5/21/20,2020,0,m,120
5/21/20,2020,0,,
5/21/20,2020,0,,
5/20/20,2020,0,,
5/20/20,2020,0,,
5/20/20,2020,0,,
5/20/20,2020,0,,
5/15/20,2020,1,f,110
5/15/20,2020,1,f,113
5/25/20,2020,1,f,125
5/25/20,2020,1,f,120
5/26/20,2020,1,f,125
5/26/20,2020,0,m,120
5/26/20,2020,0,m,140
5/26/20,2020,0,m,105
5/25/20,2020,0,f,105
5/25/20,2020,0,m,90
5/25/20,2020,0,,
5/25/20,2020,0,m,110
5/26/20,2020,0,m,125
5/26/20,2020,0,m,110
5/26/20,2020,0,m,101
5/28/20,2020,0,m,145
5/20/20,2020,0,m,108
5/28/20,2020,0,m,138
5/29/20,2020,0,f,
5/16/20,2020,1,m,136
5/16/20,2020,1,f,120
5/16/20,2020,1,m,118
5/17/20,2020,1,f,122
5/17/20,2020,0,m,134
5/10/20,2020,0,m,136
5/10/20,2020,1,f,118
5/10/20,2020,1,m,134
5/10/20,2020,1,m,135
5/10/20,2020,1,f,122
5/9/20,2020,0,f,120
5/29/20,2020,0,m,96
5/9/20,2020,0,m,134
5/29/20,2020,0,,
5/9/20,2020,0,,
5/9/20,2020,0,,
5/9/20,2020,0,,
5/9/20,2020,0,,
5/10/20,2020,0,,
5/10/20,2020,0,,
5/30/20,2020,0,f,130
5/30/20,2020,0,m,140
5/10/20,2020,0,,
5/17/20,2020,0,,
5/30/20,2020,0,f,140
5/30/20,2020,0,f,115
5/30/20,2020,0,f,125
5/30/20,2020,0,m,120
5/31/20,2020,0,f,140
5/30/20,2020,0,m,130
5/31/20,2020,0,f,135
5/31/20,2020,0,m,90
5/31/20,2020,0,f,115
5/10/20,2020,0,,
6/1/20,2020,0,f,112
6/1/20,2020,0,f,130
6/1/20,2020,0,m,113
6/1/20,2020,0,f,120
6/1/20,2020,0,m,112
6/2/20,2020,0,m,92
6/3/20,2020,0,f,100
6/3/20,2020,0,f,110
6/4/20,2020,0,f,128
6/3/20,2020,0,m,120
6/3/20,2020,0,f,110
6/4/20,2020,0,m,153
6/4/20,2020,0,,153
6/4/20,2020,0,,
6/4/20,2020,0,f,120
5/3/20,2020,0,m,120
6/6/20,2020,0,m,150
6/6/20,2020,0,m,140
5/17/20,2020,0,,
5/17/20,2020,0,,
5/10/20,2020,0,,
5/15/20,2020,0,,
5/16/20,2020,0,,
5/15/20,2020,0,,
5/15/20,2020,0,,
5/15/20,2020,0,,
5/15/20,2020,0,,
5/15/20,2020,0,,
5/14/20,2020,0,,
5/14/20,2020,0,,
5/17/20,2020,0,,
5/16/20,2020,0,,
5/16/20,2020,0,,
5/16/20,2020,0,,
5/14/20,2020,0,,
5/17/20,2020,0,,
5/16/20,2020,0,,
5/16/20,2020,0,,
5/16/20,2020,0,,
5/14/20,2020,0,,
5/14/20,2020,0,,
5/14/20,2020,0,,
5/14/20,2020,0,,
5/10/20,2020,0,,
5/14/20,2020,0,,
5/17/20,2020,0,,
5/17/20,2020,0,,
5/15/20,2020,0,,
5/16/20,2020,0,,
5/16/20,2020,0,,
5/16/20,2020,0,,
6/4/20,2020,0,m,103
6/4/20,2020,0,f,105
6/4/20,2020,0,f,133
6/4/20,2020,1,m,126
6/4/20,2020,0,m,143
6/10/20,2020,0,f,107
8/13/20,2020,0,m,132
8/13/20,2020,0,m,152
8/13/20,2020,0,f,131
8/13/20,2020,0,m,132
8/18/20,2020,0,m,142
8/18/20,2020,0,f,139
9/1/20,2020,1,f,133
9/1/20,2020,1,f,130
9/1/20,2020,1,f,133
9/1/20,2020,1,f,140
9/1/20,2020,1,f,136
9/1/20,2020,1,,135
9/1/20,2020,1,f,140
9/1/20,2020,1,f,132
9/1/20,2020,1,m,153
9/1/20,2020,1,f,123
9/1/20,2020,1,f,136
9/1/20,2020,1,f,126
9/2/20,2020,1,f,136
9/2/20,2020,1,m,146
9/7/20,2020,1,f,139
9/7/20,2020,1,f,129
9/15/20,2020,1,f,151
9/15/20,2020,1,m,153
9/23/20,2020,0,m,95
9/24/20,2020,1,m,138
9/24/20,2020,1,f,116
9/30/20,2020,1,f,130
10/1/20,2020,1,m,140
10/3/20,2020,1,f,127
10/2/20,2020,1,m,146
10/12/20,2020,1,m,132
10/12/20,2020,0,,
10/13/20,2020,0,,
10/13/20,2020,0,,
10/12/20,2020,1,f,132
10/12/20,2020,1,m,134
10/14/20,2020,1,f,112
10/16/20,2020,1,f,135
10/16/20,2020,1,f,130
10/16/20,2020,1,m,117
10/16/20,2020,1,m,148
10/16/20,2020,1,m,125
10/16/20,2020,1,m,140
10/16/20,2020,1,m,145
10/16/20,2020,1,m,145
10/16/20,2020,1,m,149
10/16/20,2020,1,m,143
10/16/20,2020,1,m,151
10/16/20,2020,1,m,130
10/2/20,2020,1,m,138
10/2/20,2020,1,m,136
10/20/20,2020,0,m,139
10/27/20,2020,0,f,119
9/15/20,2020,0,,
10/24/20,2020,0,,
10/24/20,2020,0,,
10/24/20,2020,0,,
11/24/20,2020,0,f,137
11/24/20,2020,0,f,136
11/24/20,2020,0,f,139
11/24/20,2020,0,f,117
11/24/20,2020,0,m,131
5/28/20,2020,0,m,110
5/31/20,2020,0,,
5/31/20,2020,0,,
5/31/20,2020,0,,
5/31/20,2020,0,,
6/5/20,2020,0,f,85
6/11/20,2020,0,m,150
6/11/20,2020,0,f,121
6/13/20,2020,0,,
6/13/20,2020,0,f,80
6/13/20,2020,0,,
6/13/20,2020,0,m,112
6/13/20,2020,0,m,118
6/14/20,2020,0,f,110
6/16/20,2020,0,,
6/16/20,2020,0,,
6/16/20,2020,0,m,148
6/18/20,2020,0,m,124
6/18/20,2020,0,,
6/18/20,2020,0,,
6/20/20,2020,0,,
6/21/20,2020,0,m,117
6/21/20,2020,0,f,108
6/21/20,2020,0,f,110
6/21/20,2020,0,f,110
6/21/20,2020,0,,
6/28/20,2020,0,m,116
6/28/20,2020,0,f,112
6/28/20,2020,0,m,115
