"","data","looic","waic"
"1","Aerial survey",541.37330445495,540.714944187061
"2","Reproduction",156.849833660746,156.000415742284
"3","Hunting bag (SW)",57.7512817883387,55.9964315438534
"4","Hunting bag (FI)",64.7167725766356,59.4785249061352
"5","Hunting samples (SW)",378.352355112324,374.527744136431
"6","Hunting samples (FI)",362.581567383822,362.173425941787
"7","Bycatch samples",277.55916923994,277.542261233687
